variant,asch_history_5,asch_zhu_unbiased_da,asch_zhu_unbiased_diverse_plain,asch_zhu_unbiased_qd,asch_zhu_unbiased_unanimous_confident,asch_zhu_unbiased_unanimous_neutral,asch_zhu_unbiased_unanimous_plain,asch_zhu_unbiased_unanimous_uncertain,authoritative_bias,authority_zhu_unbiased_trust,authority_zhu_unbiased_trust_da,control
base,0.761803487877499,0.900709219858156,0.9094701710471422,0.918546365914787,0.9190992493744787,0.918648310387985,0.9052982895285774,0.9411764705882353,0.7551546391752577,0.8508588186007541,0.9201171058134672,0.7218826405867971
instruct,0.6325088339222615,0.8948685857321652,0.9056761268781303,0.9115561118064247,0.9287203001250521,0.9000836120401338,0.9002920317062996,0.8624581939799331,0.6711650922177238,0.801673640167364,0.8250521920668058,0.668859649122807
instruct_sft,0.8287435456110155,0.8769294952023362,0.8991246352646937,0.8881469115191987,0.9366138448707256,0.929377350605934,0.8974145120934112,0.9170487703209671,0.7308031774051191,0.7308497279196317,0.7811320754716982,0.6763925729442971
instruct_dpo,0.6143419326628772,0.8552357113057989,0.8745310546060858,0.8850334448160535,0.893705710712797,0.8713327745180218,0.8737985791893021,0.8255959849435383,0.6562079784849844,0.7564853556485356,0.8152173913043478,0.6579134137686302
think,0.5824127264692885,0.9556299706990372,0.949748743718593,0.9343370974487663,0.9459798994974874,0.9386812263754725,0.9442114093959731,0.9422110552763819,0.5834445927903872,0.9274633123689727,0.9296776894097949,0.39054726368159204
think_sft,0.6,0.9358221476510067,0.928511354079058,0.915268456375839,0.9394703656998739,0.9338635412306404,0.9320754716981132,0.9295302013422819,0.6091348265261308,0.9088235294117647,0.9291998324256389,0.42652899126290705
think_dpo,0.5974025974025974,0.9510032664489034,0.9412587412587412,0.9281045751633987,0.9484777517564403,0.9424964936886395,0.9520037278657968,0.9365079365079365,0.5924944812362031,0.9179559306141585,0.9353629976580796,0.4798387096774194
