variant,condition,margin_first_prefixed,margin_mean_prefixed,belief_flip,belief_flip_mean,greedy_has_gt,greedy_has_wrong,greedy_wrong_only,greedy_refusal,lp_first_wrong_prefixed,lp_first_gt_prefixed,n
base,control,1.4203002844005823,1.246355245712202,0.175,0.375,0.05,0.05,0.05,0.075,-10.887377798557281,-9.4670775141567,40
base,pr_k0_plain,1.4305359426885844,1.2348647052741082,0.175,0.375,0.025,0.075,0.075,0.3,-10.901024669408798,-9.470488726720214,40
base,pr_k5_filler,1.450576788932085,1.303020944364857,0.15,0.425,0.025,0.025,0.025,0.675,-10.988703387975693,-9.538126599043608,40
base,pr_k5_correct,5.04664135472849,3.932859223415241,0.025,0.025,0.825,0.0,0.0,0.075,-11.517287039756775,-6.470645685028285,40
base,pr_k1_plain,-2.189657774940133,-1.8138920349142844,0.675,0.825,0.025,0.275,0.275,0.35,-7.356397009268403,-9.546054784208536,40
base,pr_k2_plain,-2.8795505994930863,-2.262086463675734,0.75,0.875,0.025,0.625,0.625,0.15,-6.964385755173862,-9.843936354666948,40
base,pr_k3_plain,-3.425784212257713,-2.5982180985442964,0.725,0.9,0.025,0.75,0.75,0.1,-6.730290611926466,-10.156074824184179,40
base,pr_k5_plain,-3.5253723243251445,-2.62730134127128,0.775,0.9,0.0,0.825,0.825,0.1,-6.630078571848571,-10.155450896173715,40
base,pr_k8_plain,-3.597981571033597,-2.736401286243822,0.775,0.9,0.0,0.85,0.85,0.1,-6.724867967143655,-10.322849538177252,40
base,pr_k5_confident,-4.034667969308794,-2.825924842265435,0.8,0.9,0.0,0.6,0.6,0.3,-6.333114811219275,-10.367782780528069,40
base,pr_k5_uncertain,-3.110003662947565,-2.229943804475567,0.725,0.9,0.0,0.525,0.525,0.675,-6.650461753364652,-9.760465416312218,40
base,pr_k5_diverse,-2.49582512229681,-2.0748635887841536,0.675,0.9,0.025,0.125,0.125,0.575,-8.00070704072714,-10.496532163023948,40
base,pr_k5_da,-3.44392423722893,-2.5710020842022154,0.775,0.9,0.0,0.7,0.7,0.1,-6.975967372022569,-10.419891609251499,40
base,pr_qd,-2.606005847454071,-1.8594540321081987,0.725,0.9,0.025,0.4,0.4,0.325,-6.818640683591366,-9.424646531045436,40
base,pr_k5_plain_warnsys,-3.255261263623834,-2.4749771715269295,0.725,0.9,0.025,0.625,0.625,0.0,-6.550840544328094,-9.806101807951928,40
base,pr_k5_plain_nosys,-3.5200073048472404,-2.6488735547815567,0.75,0.9,0.0,0.525,0.525,0.0,-6.584469122439623,-10.104476427286864,40
base,pu_k1_history,-1.2584290079772473,-1.192510790879218,0.575,0.775,0.1,0.225,0.225,0.0,-7.39503073990345,-8.653459747880698,40
base,pu_k5_history,-2.200293000973761,-1.8108117575310683,0.675,0.825,0.1,0.275,0.275,0.0,-6.998634639941156,-9.198927640914917,40
base,pu_k5_history_ctrlsys,-2.689543204754591,-2.180605034373189,0.7,0.825,0.025,0.7,0.7,0.0,-6.773359451070428,-9.462902655825019,40
base,auth_trust,-3.116106211626902,-2.4480067645809265,0.7,0.875,0.025,0.3,0.3,0.375,-6.80562242618762,-9.921728637814521,40
base,auth_bias,-3.277197094075382,-2.467147388242363,0.775,0.9,0.025,0.3,0.3,0.0,-6.446661610342562,-9.723858704417944,40
base,auth_bias_ctrlsys,-3.5422108864877373,-2.5818824466413735,0.75,0.925,0.0,0.45,0.45,0.025,-6.397568704327568,-9.939779590815306,40
base,ngram_orig,-3.144677710160613,-2.353738336405786,0.725,0.9,0.025,0.525,0.525,0.0,-7.162145956233144,-10.306823666393758,40
base,ngram_matched,-3.5156616600230337,-2.672504045895136,0.775,0.925,0.0,0.475,0.475,0.0,-7.122052633576095,-10.637714293599128,40
