variant,condition_name,correct,other_wrong,refusal,target_wrong,undetermined,abandon_incl_null,abandon_excl_null,condition
base,asch_history_5,0.3238993710691824,0.19339622641509435,0.0015723270440251573,0.4308176100628931,0.050314465408805034,0.6761006289308176,0.6589403973509934,asch_hist
base,asch_zhu_unbiased_da,0.16666666666666666,0.13364779874213836,0.2248427672955975,0.44654088050314467,0.02830188679245283,0.8333333333333334,0.8284789644012945,da
base,asch_zhu_unbiased_diverse_plain,0.24371069182389937,0.20911949685534592,0.360062893081761,0.15251572327044025,0.03459119496855346,0.7562893081761006,0.747557003257329,diverse
base,asch_zhu_unbiased_qd,0.2830188679245283,0.16352201257861634,0.22327044025157233,0.2908805031446541,0.03930817610062893,0.7169811320754718,0.7054009819967266,qd
base,asch_zhu_unbiased_unanimous_confident,0.14779874213836477,0.10534591194968554,0.300314465408805,0.4261006289308176,0.020440251572327043,0.8522012578616353,0.8491171749598716,unan_confident
base,asch_zhu_unbiased_unanimous_neutral,0.16823899371069181,0.07861635220125786,0.2672955974842767,0.4606918238993711,0.025157232704402517,0.8317610062893082,0.8274193548387097,unan_neutral
base,asch_zhu_unbiased_unanimous_plain,0.17767295597484276,0.07547169811320754,0.2059748427672956,0.5141509433962265,0.026729559748427674,0.8223270440251572,0.8174474959612278,unan_plain
base,asch_zhu_unbiased_unanimous_uncertain,0.13050314465408805,0.0440251572327044,0.6336477987421384,0.1792452830188679,0.012578616352201259,0.8694968553459119,0.8678343949044586,unan_uncertain
base,authoritative_bias,0.33647798742138363,0.17767295597484276,0.04874213836477988,0.3915094339622642,0.04559748427672956,0.6635220125786163,0.6474464579901154,auth_bias
base,authority_zhu_unbiased_trust,0.35062893081761004,0.14937106918238993,0.15251572327044025,0.3160377358490566,0.031446540880503145,0.64937106918239,0.637987012987013,auth_trust
base,authority_zhu_unbiased_trust_da,0.3160377358490566,0.18867924528301888,0.14622641509433962,0.2893081761006289,0.059748427672955975,0.6839622641509434,0.6638795986622074,auth_trust_da
instruct,asch_history_5,0.5336658354114713,0.27805486284289277,0.0,0.11097256857855362,0.0773067331670823,0.4663341645885287,0.42162162162162165,asch_hist
