variant,contrast,a,b,d_margin_first_prefixed,d_margin_first_prefixed_lo,d_margin_first_prefixed_hi,n_items,d_belief_flip,d_belief_flip_lo,d_belief_flip_hi,d_greedy_has_wrong,d_greedy_has_wrong_lo,d_greedy_has_wrong_hi,d_greedy_has_gt,d_greedy_has_gt_lo,d_greedy_has_gt_hi,d_greedy_refusal,d_greedy_refusal_lo,d_greedy_refusal_hi
instruct_dpo,authority trust (1 claim) vs 5 repeats participant,auth_trust,pr_k5_plain,-2.858356845118942,-4.76197220655602,-1.0293529869881377,40,0.275,0.15,0.425,0.1,-0.05,0.25,0.0,-0.075,0.075,-0.4,-0.55,-0.25
instruct_dpo,authority bias: warning vs control sys,auth_bias,auth_bias_ctrlsys,1.0179379772627726,0.349080418634694,1.6931100965314543,40,-0.15,-0.3,0.0,-0.2,-0.35,-0.075,0.025,0.0,0.075,-0.125,-0.225,-0.025
instruct_dpo,ngram matched vs participant frame (both no sys),ngram_matched,pr_k5_plain_nosys,-2.9364806411419977,-4.747392638806706,-1.1190609695101275,40,0.25,0.1,0.4,0.075,0.0,0.175,0.0,-0.075,0.075,0.0,0.0,0.0
instruct_dpo,ngram orig vs ngram matched (instruction wording),ngram_orig,ngram_matched,0.5110900933337689,-0.08585627053442295,1.1398235698226198,40,-0.025,-0.125,0.075,0.05,-0.1,0.2,-0.025,-0.075,0.0,0.0,0.0,0.0
instruct_dpo,ngram matched+ctrl sys vs participant frame+ctrl sys,ngram_matched_ctrlsys,pr_k5_plain,-2.4122070515868472,-4.28434455805515,-0.5120092000253502,40,0.25,0.1,0.4,0.275,0.15,0.425,-0.075,-0.15,0.0,-0.375,-0.55,-0.2
instruct_sft,frame only (k=0) vs control,pr_k0_plain,control,-0.05234374976716936,-0.47985655801952815,0.3849609453603625,40,0.0,-0.075,0.075,0.025,0.0,0.075,-0.025,-0.075,0.0,0.325,0.175,0.475
instruct_sft,filler lines vs frame only,pr_k5_filler,pr_k0_plain,-0.20334479003213346,-0.6241644729301333,0.1975694567279423,40,0.05,-0.05,0.15,-0.025,-0.075,0.0,-0.025,-0.075,0.0,-0.175,-0.325,-0.025
instruct_sft,correct peers vs frame only,pr_k5_correct,pr_k0_plain,4.453735412657261,3.3095825150515887,5.616847082786261,40,-0.15,-0.275,-0.05,-0.05,-0.125,0.0,0.575,0.425,0.725,-0.225,-0.4,-0.05
instruct_sft,1 repeat vs frame only,pr_k1_plain,pr_k0_plain,-3.579966967459768,-4.8286292827734725,-2.36398558985442,40,0.375,0.225,0.525,0.1,0.0,0.225,0.05,0.0,0.125,-0.125,-0.25,0.0
instruct_sft,5 repeats vs 1 repeat,pr_k5_plain,pr_k1_plain,-1.0097059283405543,-1.5901049290969966,-0.42608810051344387,40,0.075,0.0,0.175,0.25,0.1,0.4,-0.1,-0.2,-0.025,0.125,-0.05,0.3
instruct_sft,8 repeats vs 5 repeats,pr_k8_plain,pr_k5_plain,-0.2527343280613422,-0.4380418466962874,-0.07351799732074166,40,0.025,-0.05,0.10062499999999092,0.0,-0.125,0.125,0.0,0.0,0.0,-0.075,-0.175,0.0
instruct_sft,QD (stated once) vs 5 repeats,pr_qd,pr_k5_plain,1.470941965840757,0.7979377774661407,2.089653355386108,40,-0.175,-0.325,-0.05,-0.1,-0.275,0.075,0.025,0.0,0.075,0.025,-0.1,0.15
instruct_sft,diverse (no consensus) vs 5 repeats,pr_k5_diverse,pr_k5_plain,0.3229248128831387,-0.4635693202540278,1.160011079851538,40,-0.05,-0.175,0.075,-0.275,-0.425,-0.125,0.0,0.0,0.0,0.175,0.025,0.325
instruct_sft,DA (4+1) vs 5 repeats,pr_k5_da,pr_k5_plain,-0.556811536476016,-0.9322216902300715,-0.1914037299808115,40,0.05,0.0,0.125,-0.1,-0.225,0.025,0.025,0.0,0.075,-0.05,-0.175,0.075
instruct_sft,confident (varied) vs plain (identical),pr_k5_confident,pr_k5_plain,-0.939941423619166,-1.5237866770138497,-0.40819577203597884,40,0.1,0.025,0.2,0.125,-0.075,0.3,0.0,0.0,0.0,-0.075,-0.225,0.1
