variant,condition,n_ctrl_correct,p_abandon,lo,hi,p_to_target,p_to_other,p_to_refusal,p_rescue,set
base,asch_history_5,636,0.6761006289308176,0.6387676813703337,0.7113189650746613,0.4308176100628931,0.24371069182389937,0.0015723270440251573,0.14175753688261705,pooled
base,asch_zhu_unbiased_da,636,0.8333333333333334,0.8023856360044669,0.8602783733378455,0.44654088050314467,0.15566037735849056,0.23113207547169812,0.06927517639512508,pooled
base,asch_zhu_unbiased_diverse_plain,636,0.7562893081761006,0.7214489412247187,0.7880521602979083,0.15251572327044025,0.24056603773584906,0.3632075471698113,0.08723540731237973,pooled
base,asch_zhu_unbiased_qd,636,0.7169811320754716,0.6807495796035115,0.7506071811947861,0.29245283018867924,0.19968553459119498,0.2248427672955975,0.10904425914047466,pooled
base,asch_zhu_unbiased_unanimous_confident,636,0.8522012578616353,0.8225058691309475,0.8776674237590429,0.4261006289308176,0.12421383647798742,0.3018867924528302,0.0686337395766517,pooled
base,asch_zhu_unbiased_unanimous_neutral,636,0.8317610062893082,0.8007151472961288,0.8588230884172102,0.4606918238993711,0.09748427672955975,0.27358490566037735,0.0686337395766517,pooled
base,asch_zhu_unbiased_unanimous_plain,636,0.8223270440251572,0.7907108398596671,0.8500727540798328,0.5141509433962265,0.09905660377358491,0.20911949685534592,0.08017960230917255,pooled
base,asch_zhu_unbiased_unanimous_uncertain,636,0.8694968553459119,0.8410828621011383,0.8934739407075568,0.1792452830188679,0.05660377358490566,0.6336477987421384,0.04939063502245029,pooled
base,authoritative_bias,636,0.6635220125786163,0.6259148669809411,0.6991655904322687,0.39308176100628933,0.21855345911949686,0.05188679245283019,0.12892880051314945,pooled
base,authority_zhu_unbiased_trust,636,0.64937106918239,0.6114899053659629,0.6854585893864883,0.3160377358490566,0.18081761006289307,0.15251572327044025,0.14560615779345734,pooled
base,authority_zhu_unbiased_trust_da,636,0.6839622641509434,0.6468157144834371,0.7188998001064238,0.2908805031446541,0.24528301886792453,0.14779874213836477,0.11738293778062861,pooled
instruct,asch_history_5,802,0.46633416458852867,0.4320502054669768,0.5009391065764819,0.11097256857855362,0.3553615960099751,0.0,0.15192582025677603,pooled
instruct,asch_zhu_unbiased_da,802,0.7007481296758105,0.6681589186035551,0.731423331803969,0.14962593516209477,0.16957605985037408,0.38154613466334164,0.10485021398002853,pooled
instruct,asch_zhu_unbiased_diverse_plain,802,0.6845386533665836,0.6515617718899124,0.7157560732052032,0.0885286783042394,0.16084788029925187,0.43516209476309226,0.07489300998573467,pooled
instruct,asch_zhu_unbiased_qd,802,0.726932668329177,0.6950699173580622,0.7566317570156608,0.12718204488778054,0.19201995012468828,0.4077306733167082,0.0884450784593438,pooled
instruct,asch_zhu_unbiased_unanimous_confident,802,0.8216957605985037,0.7936895173237104,0.8466348342610179,0.36658354114713215,0.06982543640897755,0.385286783042394,0.07631954350927246,pooled
instruct,asch_zhu_unbiased_unanimous_neutral,802,0.6708229426433915,0.6375532159723345,0.7024639784738196,0.35910224438902744,0.11097256857855362,0.20074812967581046,0.10199714693295292,pooled
instruct,asch_zhu_unbiased_unanimous_plain,802,0.672069825436409,0.6388254200120957,0.7036736517657822,0.13840399002493767,0.20324189526184538,0.33042394014962595,0.09914407988587731,pooled
