variant,conformity_profile,count,profile_label
instruct_sft,011110,16,first_at_T=0.2
instruct_sft,111001,15,first_at_T=0.0
instruct_sft,100010,14,first_at_T=0.0
instruct_sft,011100,13,first_at_T=0.2
instruct_sft,101111,13,first_at_T=0.0
instruct_sft,100001,13,first_at_T=0.0
instruct_sft,000101,12,first_at_T=0.6
instruct_sft,101000,11,first_at_T=0.0
instruct_sft,110111,10,first_at_T=0.0
instruct_sft,111010,10,first_at_T=0.0
instruct_sft,110001,10,first_at_T=0.0
instruct_sft,001001,9,first_at_T=0.4
instruct_sft,011101,8,first_at_T=0.2
instruct_sft,110011,8,first_at_T=0.0
instruct_sft,010001,8,first_at_T=0.2
instruct_sft,110010,8,first_at_T=0.0
instruct_sft,010111,8,first_at_T=0.2
instruct_sft,101100,7,first_at_T=0.0
instruct_sft,110100,7,first_at_T=0.0
instruct_sft,001101,6,first_at_T=0.4
instruct_sft,011011,6,first_at_T=0.2
instruct_sft,001011,6,first_at_T=0.4
instruct_sft,001010,6,first_at_T=0.4
instruct_sft,100110,6,first_at_T=0.0
instruct_sft,100111,5,first_at_T=0.0
instruct_sft,011010,5,first_at_T=0.2
instruct_sft,011001,5,first_at_T=0.2
instruct_sft,010110,5,first_at_T=0.2
instruct_sft,100011,5,first_at_T=0.0
instruct_sft,100101,5,first_at_T=0.0
instruct_sft,100100,5,first_at_T=0.0
instruct_sft,010100,5,first_at_T=0.2
instruct_sft,010010,4,first_at_T=0.2
instruct_sft,010011,4,first_at_T=0.2
instruct_sft,101011,3,first_at_T=0.0
instruct_sft,010101,3,first_at_T=0.2
instruct_sft,101110,3,first_at_T=0.0
instruct_sft,110101,2,first_at_T=0.0
instruct_sft,101001,2,first_at_T=0.0
instruct_sft,101101,2,first_at_T=0.0
instruct_sft,110110,1,first_at_T=0.0
instruct_sft,101010,1,first_at_T=0.0
instruct_dpo,000000,2589,never_conforms
instruct_dpo,111111,233,always_conforms
instruct_dpo,000001,176,first_at_T=1.0
instruct_dpo,000010,142,first_at_T=0.8
instruct_dpo,000011,99,first_at_T=0.8
instruct_dpo,100000,84,first_at_T=0.0
instruct_dpo,111110,70,first_at_T=0.0
instruct_dpo,001000,59,first_at_T=0.4
instruct_dpo,000100,54,first_at_T=0.6
instruct_dpo,111100,52,first_at_T=0.0
instruct_dpo,111101,47,first_at_T=0.0
instruct_dpo,010000,46,first_at_T=0.2
instruct_dpo,011111,40,first_at_T=0.2
instruct_dpo,111000,38,first_at_T=0.0
instruct_dpo,001100,31,first_at_T=0.4
instruct_dpo,001111,30,first_at_T=0.4
instruct_dpo,110000,29,first_at_T=0.0
instruct_dpo,000110,28,first_at_T=0.6
instruct_dpo,000111,24,first_at_T=0.6
instruct_dpo,011000,23,first_at_T=0.2
instruct_dpo,100001,21,first_at_T=0.0
instruct_dpo,001010,19,first_at_T=0.4
instruct_dpo,000101,19,first_at_T=0.6
instruct_dpo,101111,19,first_at_T=0.0
instruct_dpo,111001,18,first_at_T=0.0
instruct_dpo,111010,17,first_at_T=0.0
instruct_dpo,001011,17,first_at_T=0.4
instruct_dpo,101000,16,first_at_T=0.0
instruct_dpo,110111,16,first_at_T=0.0
instruct_dpo,011100,16,first_at_T=0.2
instruct_dpo,100111,15,first_at_T=0.0
instruct_dpo,011110,15,first_at_T=0.2
instruct_dpo,100010,15,first_at_T=0.0
instruct_dpo,001110,14,first_at_T=0.4
instruct_dpo,111011,14,first_at_T=0.0
instruct_dpo,110001,13,first_at_T=0.0
instruct_dpo,110110,13,first_at_T=0.0
instruct_dpo,011101,13,first_at_T=0.2
instruct_dpo,100011,12,first_at_T=0.0
instruct_dpo,010100,12,first_at_T=0.2
instruct_dpo,110101,11,first_at_T=0.0
instruct_dpo,100100,11,first_at_T=0.0
instruct_dpo,010111,11,first_at_T=0.2
instruct_dpo,010001,11,first_at_T=0.2
instruct_dpo,010110,11,first_at_T=0.2
