variant,conforming_mean_length,resisting_mean_length,delta,conforming_n,resisting_n,conforming_std,resisting_std,welch_t,welch_p,cohens_d,delta_ci_lower,delta_ci_upper
base,590.7,486.6,104.1,7794,1792,82.4,86.3,46.4043,0.0,1.2514,99.8,108.5
instruct,257.0,341.2,-84.2,5640,1971,260.5,159.3,-16.8683,2.5250434304171224e-62,-0.353,-94.3,-74.5
instruct_sft,168.7,290.0,-121.3,7167,2281,197.6,138.4,-32.5939,4.152896422767826e-213,-0.6554,-128.7,-114.1
instruct_dpo,359.9,352.6,7.3,5304,2658,237.9,140.0,1.7173,0.0859633418609259,0.0347,-1.0,15.6
think,1197.9,961.2,236.7,6996,2239,119.8,143.7,70.4853,0.0,1.878,230.1,243.2
think_sft,1181.2,954.4,226.8,6592,2918,120.4,147.0,73.1669,0.0,1.7558,220.7,233.0
think_dpo,1210.6,1014.5,196.1,6661,3305,118.1,175.6,58.0378,0.0,1.4031,189.5,202.8
