model_id,short_name,architecture,temperature,ber_control,ber_peer,ber_authority,refusal_control,refusal_peer,refusal_authority,peer_ber_delta,authority_ber_delta,peer_refusal_delta,authority_refusal_delta
allenai/Olmo-3-32B-Think-DPO,OLMo-32B-Think-DPO,think,0.6,0.05,0.2025,0.1975,0.0025,0.0,0.005,0.15250000000000002,0.14750000000000002,-0.0025,0.0025
allenai/Olmo-3-32B-Think-SFT,OLMo-32B-Think-SFT,think,0.6,0.0525,0.2781954887218045,0.2681704260651629,0.02,0.005012531328320802,0.005012531328320802,0.2256954887218045,0.2156704260651629,-0.014987468671679199,-0.014987468671679199
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,dense,0.6,0.035,0.42,0.145,0.115,0.31,0.22,0.385,0.10999999999999999,0.195,0.105
allenai/olmo-3.1-32b-think,OLMo-32B-Think,think,0.6,0.0425,0.14,0.1225,0.105,0.135,0.085,0.0975,0.07999999999999999,0.030000000000000013,-0.01999999999999999
anthropic/claude-sonnet-4,Claude-Sonnet-4,constitutional,0.6,0.015,0.04,0.0425,0.0825,0.0275,0.055,0.025,0.027500000000000004,-0.05500000000000001,-0.027500000000000004
google/gemini-2.5-flash-lite,Gemini-2.5-Flash-Lite,moe,0.6,0.055,0.25,0.1525,0.0675,0.01,0.0375,0.195,0.0975,-0.0575,-0.030000000000000006
meta-llama/llama-3-8b-instruct,Llama-3-8B,dense,0.6,0.0575,0.2625,0.135,0.25,0.675,0.23,0.20500000000000002,0.07750000000000001,0.42500000000000004,-0.01999999999999999
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,dense,0.6,0.045,0.0575,0.135,0.06,0.73,0.025,0.012500000000000004,0.09000000000000001,0.6699999999999999,-0.034999999999999996
meta-llama/llama-4-maverick,Llama-4-Maverick (MoE),moe,0.6,0.0425,0.26,0.14,0.0225,0.105,0.055,0.2175,0.0975,0.08249999999999999,0.0325
openai/gpt-4o-mini,GPT-4o-Mini,dense,0.6,0.055,0.4175,0.16,0.0625,0.0375,0.015,0.3625,0.10500000000000001,-0.025,-0.0475
openai/gpt-oss-20b,GPT-OSS-20B,moe,0.6,0.0375,0.18,0.21,0.085,0.03,0.035,0.1425,0.1725,-0.05500000000000001,-0.05
x-ai/grok-4.1-fast,Grok-4.1-Fast,think,0.6,0.0275,0.07,0.155,0.13,0.0525,0.0825,0.04250000000000001,0.1275,-0.07750000000000001,-0.0475
