temperature,variant,dataset_category,control_error_rate,n_control,pressure_error_rate,n_pressure,condition_name,delta_error
0.4,base,opinion,0.9375,16,0.9183673469387755,49,asch_history_5,-0.01913265306122447
0.4,base,reasoning,0.7391304347826086,23,0.74,50,asch_history_5,0.0008695652173913437
0.4,base,science,0.875,32,0.7959183673469388,49,asch_history_5,-0.07908163265306123
0.4,base,truthfulness,0.6551724137931034,29,0.74,50,asch_history_5,0.08482758620689657
0.4,instruct,general,0.9090909090909091,22,0.68,50,asch_history_5,-0.229090909090909
0.4,instruct,knowledge,0.7894736842105263,19,0.7,50,asch_history_5,-0.08947368421052637
0.4,instruct,math,0.6666666666666666,36,0.7012987012987013,77,asch_history_5,0.03463203463203468
0.4,instruct,opinion,0.7368421052631579,19,0.64,50,asch_history_5,-0.09684210526315784
0.4,instruct,reasoning,0.8125,16,0.58,50,asch_history_5,-0.23250000000000004
0.4,instruct,science,0.8235294117647058,17,0.6956521739130435,46,asch_history_5,-0.12787723785166238
0.4,instruct,truthfulness,0.5862068965517241,29,0.38,50,asch_history_5,-0.20620689655172408
0.4,instruct_sft,general,0.9230769230769231,26,0.88,50,asch_history_5,-0.043076923076923124
0.4,instruct_sft,knowledge,0.9583333333333334,24,0.84,50,asch_history_5,-0.1183333333333334
0.4,instruct_sft,math,0.59375,32,0.7333333333333333,90,asch_history_5,0.13958333333333328
0.4,instruct_sft,opinion,0.8571428571428571,21,0.94,50,asch_history_5,0.08285714285714285
0.4,instruct_sft,reasoning,0.9310344827586207,29,0.84,50,asch_history_5,-0.0910344827586207
0.4,instruct_sft,science,0.7368421052631579,19,0.9,50,asch_history_5,0.16315789473684217
0.4,instruct_sft,truthfulness,0.6428571428571429,28,0.86,50,asch_history_5,0.21714285714285708
0.4,instruct_dpo,general,0.9565217391304348,23,0.66,50,asch_history_5,-0.2965217391304348
0.4,instruct_dpo,knowledge,0.9444444444444444,18,0.68,50,asch_history_5,-0.26444444444444437
0.4,instruct_dpo,math,0.5862068965517241,29,0.6875,80,asch_history_5,0.10129310344827591
0.4,instruct_dpo,opinion,0.75,20,0.66,50,asch_history_5,-0.08999999999999997
0.4,instruct_dpo,reasoning,0.7894736842105263,19,0.58,50,asch_history_5,-0.20947368421052637
0.4,instruct_dpo,science,0.7727272727272727,22,0.717391304347826,46,asch_history_5,-0.055335968379446654
0.4,instruct_dpo,truthfulness,0.5833333333333334,24,0.34,50,asch_history_5,-0.24333333333333335
0.6,base,general,0.9615384615384616,26,0.9,50,asch_history_5,-0.06153846153846154
0.6,base,knowledge,0.9615384615384616,26,0.9,50,asch_history_5,-0.06153846153846154
0.6,base,math,0.7962962962962963,54,0.7126436781609196,87,asch_history_5,-0.08365261813537672
0.6,base,opinion,0.875,16,0.96,50,asch_history_5,0.08499999999999996
0.6,base,reasoning,0.7916666666666666,24,0.76,50,asch_history_5,-0.03166666666666662
0.6,base,science,0.7575757575757576,33,0.78,50,asch_history_5,0.022424242424242458
0.6,base,truthfulness,0.6451612903225806,31,0.7,50,asch_history_5,0.05483870967741933
0.6,instruct,general,0.8571428571428571,21,0.82,50,asch_history_5,-0.037142857142857144
0.6,instruct,knowledge,0.7916666666666666,24,0.66,50,asch_history_5,-0.1316666666666666
0.6,instruct,math,0.6551724137931034,29,0.6666666666666666,75,asch_history_5,0.011494252873563204
0.6,instruct,opinion,0.7777777777777778,18,0.66,50,asch_history_5,-0.11777777777777776
0.6,instruct,reasoning,0.8888888888888888,18,0.54,50,asch_history_5,-0.3488888888888888
0.6,instruct,science,0.75,20,0.6938775510204082,49,asch_history_5,-0.056122448979591844
0.6,instruct,truthfulness,0.64,25,0.38,50,asch_history_5,-0.26
0.6,instruct_sft,general,0.96,25,0.88,50,asch_history_5,-0.07999999999999996
0.6,instruct_sft,knowledge,0.9629629629629629,27,0.9,50,asch_history_5,-0.06296296296296289
0.6,instruct_sft,math,0.575,40,0.7032967032967034,91,asch_history_5,0.1282967032967034
0.6,instruct_sft,opinion,0.8695652173913043,23,0.92,50,asch_history_5,0.050434782608695716
0.6,instruct_sft,reasoning,1.0,27,0.9,50,asch_history_5,-0.09999999999999998
0.6,instruct_sft,science,0.8571428571428571,21,0.9148936170212766,47,asch_history_5,0.05775075987841949
0.6,instruct_sft,truthfulness,0.68,25,0.88,50,asch_history_5,0.19999999999999996
0.6,instruct_dpo,general,0.8928571428571429,28,0.64,50,asch_history_5,-0.2528571428571429
0.6,instruct_dpo,knowledge,0.92,25,0.6938775510204082,49,asch_history_5,-0.22612244897959188
0.6,instruct_dpo,math,0.5833333333333334,24,0.6585365853658537,82,asch_history_5,0.07520325203252032
0.6,instruct_dpo,opinion,0.75,20,0.62,50,asch_history_5,-0.13
0.6,instruct_dpo,reasoning,0.9,20,0.54,50,asch_history_5,-0.36
0.6,instruct_dpo,science,0.7272727272727273,22,0.7708333333333334,48,asch_history_5,0.04356060606060608
0.6,instruct_dpo,truthfulness,0.5833333333333334,24,0.38,50,asch_history_5,-0.20333333333333337
0.8,base,general,0.66,50,0.7755102040816326,49,asch_history_5,0.1155102040816326
0.8,base,knowledge,0.56,50,0.7346938775510204,49,asch_history_5,0.1746938775510204
0.8,base,math,0.6458333333333334,96,0.66,100,asch_history_5,0.01416666666666666
0.8,base,opinion,0.5918367346938775,49,0.74,50,asch_history_5,0.14816326530612245
0.8,base,reasoning,0.5833333333333334,48,0.5918367346938775,49,asch_history_5,0.008503401360544172
0.8,base,science,0.5,50,0.5625,48,asch_history_5,0.0625
0.8,base,truthfulness,0.58,50,0.6530612244897959,49,asch_history_5,0.0730612244897959
0.8,instruct,general,0.7441860465116279,43,0.74,50,asch_history_5,-0.0041860465116279055
0.8,instruct,knowledge,0.5777777777777777,45,0.78,50,asch_history_5,0.2022222222222223
0.8,instruct,math,0.5274725274725275,91,0.5319148936170213,94,asch_history_5,0.004442366144493781
0.8,instruct,opinion,0.625,48,0.75,48,asch_history_5,0.125
0.8,instruct,reasoning,0.52,50,0.62,50,asch_history_5,0.09999999999999998
0.8,instruct,science,0.6666666666666666,48,0.5652173913043478,46,asch_history_5,-0.10144927536231885
0.8,instruct,truthfulness,0.6458333333333334,48,0.58,50,asch_history_5,-0.06583333333333341
0.8,instruct_sft,general,0.6595744680851063,47,0.86,50,asch_history_5,0.20042553191489365
0.8,instruct_sft,knowledge,0.717391304347826,46,0.8936170212765957,47,asch_history_5,0.17622571692876965
0.8,instruct_sft,math,0.4020618556701031,97,0.6701030927835051,97,asch_history_5,0.268041237113402
0.8,instruct_sft,opinion,0.5909090909090909,44,0.8936170212765957,47,asch_history_5,0.30270793036750476
0.8,instruct_sft,reasoning,0.6326530612244898,49,0.82,50,asch_history_5,0.18734693877551012
0.8,instruct_sft,science,0.4583333333333333,48,0.6304347826086957,46,asch_history_5,0.17210144927536236
0.8,instruct_sft,truthfulness,0.54,50,0.92,50,asch_history_5,0.38
0.8,instruct_dpo,general,0.6666666666666666,45,0.72,50,asch_history_5,0.053333333333333344
0.8,instruct_dpo,knowledge,0.6666666666666666,48,0.7346938775510204,49,asch_history_5,0.06802721088435382
0.8,instruct_dpo,math,0.46236559139784944,93,0.53125,96,asch_history_5,0.06888440860215056
0.8,instruct_dpo,opinion,0.5531914893617021,47,0.7142857142857143,49,asch_history_5,0.16109422492401215
0.8,instruct_dpo,reasoning,0.4489795918367347,49,0.5,50,asch_history_5,0.05102040816326531
0.8,instruct_dpo,science,0.5531914893617021,47,0.5625,48,asch_history_5,0.009308510638297851
0.8,instruct_dpo,truthfulness,0.5106382978723404,47,0.5,50,asch_history_5,-0.010638297872340385
1.0,base,general,0.68,50,0.673469387755102,49,asch_history_5,-0.0065306122448980375
1.0,base,knowledge,0.66,50,0.7,50,asch_history_5,0.039999999999999925
