variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,er_p,er_lo,er_hi,rr_p,rr_lo,rr_hi,ber_control,conformity_effect
base,0.2,authority_zhu_unbiased_trust_da,68.0,149.0,31.0,152.0,400.0,400.0,0.3725,0.83,shared,base,0.3725,0.32654304802813294,0.4208826753247856,0.17,0.13636842234813634,0.20990992044765294,0.0775,0.05513258958646752,0.10790559172026265,0.08,0.2925
base,0.2,control,121.0,32.0,11.0,236.0,400.0,400.0,0.08,0.6975,shared,base,0.08,0.057235397942962354,0.11075522016076943,0.3025,0.25953861492842695,0.34921887810844693,0.0275,0.015423476078524151,0.04856596928817408,0.08,0.0
base,0.4,asch_history_5,76.0,224.0,0.0,100.0,400.0,400.0,0.56,0.81,shared,base,0.56,0.511011885079453,0.6078465980485853,0.19,0.15457325560638852,0.23132458156541352,0.0,0.0,0.009512640599680667,0.0625,0.49750000000000005
base,0.4,asch_zhu_unbiased_da,33.0,199.0,52.0,116.0,400.0,400.0,0.4975,0.9175,shared,base,0.4975,0.44875800198627125,0.5462895612167272,0.0825,0.059345516507342,0.11359753839339136,0.13,0.10053077315766948,0.16650858088609424,0.0625,0.435
base,0.4,asch_zhu_unbiased_diverse_plain,46.0,82.0,89.0,183.0,400.0,400.0,0.205,0.885,shared,base,0.205,0.1683322182508118,0.24728023970299978,0.115,0.08733247792422089,0.14999225533753324,0.2225,0.18448762755400633,0.2657918879788165,0.0625,0.1425
base,0.4,asch_zhu_unbiased_qd,63.0,144.0,39.0,154.0,400.0,400.0,0.36,0.8425,shared,base,0.36,0.31449710298654476,0.40816643638136574,0.1575,0.1250805930171134,0.19643556579366786,0.0975,0.07214471685094813,0.1305129588317948,0.0625,0.2975
base,0.4,asch_zhu_unbiased_unanimous_confident,31.0,207.0,43.0,119.0,400.0,400.0,0.5175,0.9225,shared,base,0.5175,0.4685967396420818,0.5660703179369293,0.0775,0.05513258958646752,0.10790559172026265,0.1075,0.08079329401678037,0.14167412885396896,0.0625,0.45499999999999996
base,0.4,asch_zhu_unbiased_unanimous_neutral,48.0,193.0,57.0,102.0,400.0,400.0,0.4825,0.88,shared,base,0.4825,0.4339296820630707,0.5314032603579181,0.12,0.09171493428788872,0.1555146725678686,0.1425,0.11163780858819913,0.18016372944057255,0.0625,0.42
base,0.4,asch_zhu_unbiased_unanimous_plain,45.0,240.0,38.0,77.0,400.0,400.0,0.6,0.8875,shared,base,0.6,0.5512581652462732,0.6468393066337906,0.1125,0.0851480200886654,0.14722427637608715,0.095,0.0699962171700798,0.12770902171566156,0.0625,0.5375
base,0.4,asch_zhu_unbiased_unanimous_uncertain,24.0,247.0,18.0,111.0,400.0,400.0,0.6175,0.94,shared,base,0.6175,0.5689683892522508,0.6637961402068244,0.06,0.0406476805246611,0.0877234432030579,0.045,0.028651223384090457,0.07000527956161895,0.0625,0.555
base,0.4,authoritative_bias,82.0,197.0,3.0,118.0,400.0,400.0,0.4925,0.795,shared,base,0.4925,0.4438103957369542,0.5413322938720411,0.205,0.1683322182508118,0.24728023970299978,0.0075,0.0025538429629852373,0.02181610802770022,0.0625,0.43
base,0.4,authority_zhu_unbiased_trust,88.0,150.0,28.0,134.0,400.0,400.0,0.375,0.78,shared,base,0.375,0.32895626254334526,0.42342189760657495,0.22,0.18217324955825856,0.26315382917756264,0.07,0.048871304519740505,0.0993095663959849,0.0625,0.3125
base,0.4,authority_zhu_unbiased_trust_da,82.0,155.0,31.0,132.0,400.0,400.0,0.3875,0.795,shared,base,0.3875,0.3410421691577642,0.43609817497716397,0.205,0.1683322182508118,0.24728023970299978,0.0775,0.05513258958646752,0.10790559172026265,0.0625,0.325
base,0.4,control,107.0,25.0,11.0,257.0,400.0,400.0,0.0625,0.7324999999999999,shared,base,0.0625,0.04268884343581125,0.09063471708890933,0.2675,0.22648167576028763,0.31294170211856387,0.0275,0.015423476078524151,0.04856596928817408,0.0625,0.0
base,0.6,asch_history_5,75.0,217.0,0.0,108.0,400.0,400.0,0.5425,0.8125,shared,base,0.5425,0.49350413540767263,0.5906872901413545,0.1875,0.15228856358904605,0.2286568367857544,0.0,0.0,0.009512640599680667,0.06,0.4825
base,0.6,asch_zhu_unbiased_da,54.0,180.0,37.0,129.0,400.0,400.0,0.45,0.865,shared,base,0.45,0.40195136207927884,0.4989999019806892,0.135,0.10496250056538574,0.17198172707238119,0.0925,0.06785354688500786,0.12489925520373191,0.06,0.39
base,0.6,asch_zhu_unbiased_diverse_plain,46.0,90.0,64.0,200.0,400.0,400.0,0.225,0.885,shared,base,0.225,0.18680409020181676,0.2684278621280076,0.115,0.08733247792422089,0.14999225533753324,0.16,0.12733221459300603,0.19913638101477682,0.06,0.165
base,0.6,asch_zhu_unbiased_qd,75.0,133.0,17.0,175.0,400.0,400.0,0.3325,0.8125,shared,base,0.3325,0.28811717839304024,0.3800695562078528,0.1875,0.15228856358904605,0.2286568367857544,0.0425,0.02670146955162519,0.06700259659708263,0.06,0.2725
base,0.6,asch_zhu_unbiased_unanimous_confident,44.0,214.0,25.0,117.0,400.0,400.0,0.535,0.89,shared,base,0.535,0.4860191592087707,0.5833149559492518,0.11,0.08296824650193971,0.14445161316581123,0.0625,0.04268884343581125,0.09063471708890933,0.06,0.47500000000000003
base,0.6,asch_zhu_unbiased_unanimous_neutral,47.0,198.0,32.0,123.0,400.0,400.0,0.495,0.8825000000000001,shared,base,0.495,0.44628359498707637,0.5438115314189205,0.1175,0.08952149033047882,0.1527556797282769,0.08,0.057235397942962354,0.11075522016076943,0.06,0.435
base,0.6,asch_zhu_unbiased_unanimous_plain,52.0,220.0,30.0,98.0,400.0,400.0,0.55,0.87,shared,base,0.55,0.5010000980193108,0.5980486379207213,0.13,0.10053077315766948,0.16650858088609424,0.075,0.053037406335715714,0.10504833817401285,0.06,0.49000000000000005
base,0.6,asch_zhu_unbiased_unanimous_uncertain,36.0,216.0,26.0,122.0,400.0,400.0,0.54,0.91,shared,base,0.54,0.4910079246678604,0.5882310640841653,0.09,0.065716912967122,0.12208345232461616,0.065,0.04474017569726697,0.09353582162445521,0.06,0.48000000000000004
base,0.6,authoritative_bias,63.0,231.0,6.0,100.0,400.0,400.0,0.5775,0.8425,shared,base,0.5775,0.5285801141391775,0.624945426567872,0.1575,0.1250805930171134,0.19643556579366786,0.015,0.006892197870136998,0.03233506351155325,0.06,0.5175000000000001
base,0.6,authority_zhu_unbiased_trust,80.0,167.0,22.0,131.0,400.0,400.0,0.4175,0.8,shared,base,0.4175,0.370180420494612,0.46638916520433527,0.2,0.16373644787133712,0.24197113648847135,0.055,0.036598221864059276,0.08186802826965653,0.06,0.3575
base,0.6,authority_zhu_unbiased_trust_da,74.0,142.0,30.0,154.0,400.0,400.0,0.355,0.815,shared,base,0.355,0.30968822623349224,0.4030704395404151,0.185,0.15000638716506282,0.225986576412736,0.075,0.053037406335715714,0.10504833817401285,0.06,0.295
base,0.6,control,95.0,24.0,8.0,273.0,400.0,400.0,0.06,0.7625,shared,base,0.06,0.0406476805246611,0.0877234432030579,0.2375,0.19841684319432581,0.2815772931205065,0.02,0.010168264597915496,0.038963870377777945,0.06,0.0
base,0.8,asch_history_5,78.0,202.0,0.0,120.0,400.0,400.0,0.505,0.8049999999999999,shared,base,0.505,0.4561884685810796,0.5537164050129236,0.195,0.15915003771249597,0.23665267305330928,0.0,0.0,0.009512640599680667,0.0475,0.4575
base,0.8,asch_zhu_unbiased_da,45.0,184.0,46.0,125.0,400.0,400.0,0.46,0.8875,shared,base,0.46,0.4117689359158348,0.5089920753321397,0.1125,0.0851480200886654,0.14722427637608715,0.115,0.08733247792422089,0.14999225533753324,0.0475,0.41250000000000003
base,0.8,asch_zhu_unbiased_diverse_plain,57.0,80.0,57.0,206.0,400.0,400.0,0.2,0.8575,shared,base,0.2,0.16373644787133712,0.24197113648847135,0.1425,0.11163780858819913,0.18016372944057255,0.1425,0.11163780858819913,0.18016372944057255,0.0475,0.15250000000000002
base,0.8,asch_zhu_unbiased_qd,64.0,131.0,14.0,191.0,400.0,400.0,0.3275,0.84,shared,base,0.3275,0.2833392679681935,0.3749425930386963,0.16,0.12733221459300603,0.19913638101477682,0.035,0.0209610999014911,0.05788565585621193,0.0475,0.28
base,0.8,asch_zhu_unbiased_unanimous_confident,46.0,213.0,19.0,122.0,400.0,400.0,0.5325,0.885,shared,base,0.5325,0.48352660176021306,0.5808550766008076,0.115,0.08733247792422089,0.14999225533753324,0.0475,0.030616832107668652,0.07299210763504237,0.0475,0.485
base,0.8,asch_zhu_unbiased_unanimous_neutral,47.0,208.0,20.0,125.0,400.0,400.0,0.52,0.8825000000000001,shared,base,0.52,0.4710820210989227,0.5685374732770901,0.1175,0.08952149033047882,0.1527556797282769,0.05,0.0325971756266401,0.07596420091307252,0.0475,0.47250000000000003
base,0.8,asch_zhu_unbiased_unanimous_plain,51.0,217.0,25.0,107.0,400.0,400.0,0.5425,0.8725,shared,base,0.5425,0.49350413540767263,0.5906872901413545,0.1275,0.09832071558850791,0.16376620165825423,0.0625,0.04268884343581125,0.09063471708890933,0.0475,0.495
base,0.8,asch_zhu_unbiased_unanimous_uncertain,38.0,191.0,17.0,154.0,400.0,400.0,0.4775,0.905,shared,base,0.4775,0.4289965818287492,0.5264314869982364,0.095,0.0699962171700798,0.12770902171566156,0.0425,0.02670146955162519,0.06700259659708263,0.0475,0.43
base,0.8,authoritative_bias,73.0,201.0,13.0,113.0,400.0,400.0,0.5025,0.8175,shared,base,0.5025,0.4537104387832728,0.5512419980137288,0.1825,0.14772676508161553,0.2233137616991817,0.0325,0.019089659086961887,0.054804659873739545,0.0475,0.45499999999999996
