variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,er_p,er_lo,er_hi,rr_p,rr_lo,rr_hi,ber_control,conformity_effect
instruct,0.6,asch_zhu_unbiased_unanimous_plain,66.0,80.0,36.0,218.0,400.0,400.0,0.2,0.835,instruct,rl,0.2,0.16373644787133712,0.24197113648847135,0.165,0.13184448183586026,0.2045289873659258,0.09,0.065716912967122,0.12208345232461616,0.0675,0.1325
instruct,0.6,asch_zhu_unbiased_unanimous_uncertain,97.0,140.0,18.0,145.0,400.0,400.0,0.35,0.7575000000000001,instruct,rl,0.35,0.304884853065619,0.39796893911428516,0.2425,0.2030757339434459,0.28682327596538965,0.045,0.028651223384090457,0.07000527956161895,0.0675,0.2825
instruct,0.6,authoritative_bias,87.0,111.0,5.0,197.0,400.0,400.0,0.2775,0.7825,instruct,rl,0.2775,0.23589351571381517,0.3233396093530428,0.2175,0.17986098131336697,0.2605136606254526,0.0125,0.005350671853550634,0.02892415273113802,0.0675,0.21000000000000002
instruct,0.6,authority_zhu_unbiased_trust,102.0,128.0,3.0,167.0,400.0,400.0,0.32,0.745,instruct,rl,0.32,0.2761833561331949,0.3672411944826901,0.255,0.21475600851610616,0.2999051853777373,0.0075,0.0025538429629852373,0.02181610802770022,0.0675,0.2525
instruct,0.6,authority_zhu_unbiased_trust_da,96.0,121.0,9.0,174.0,400.0,400.0,0.3025,0.76,instruct,rl,0.3025,0.25953861492842695,0.34921887810844693,0.24,0.20074532480639665,0.28420124830543736,0.0225,0.011881448169963291,0.04220312360273175,0.0675,0.235
instruct,0.6,control,141.0,27.0,12.0,220.0,400.0,400.0,0.0675,0.6475,instruct,rl,0.0675,0.046801154899328234,0.09642727921939556,0.3525,0.3072858484474132,0.4005203805294925,0.03,0.017242849034032177,0.05169903312966765,0.0675,0.0
instruct,0.8,asch_history_5,114.0,70.0,0.0,216.0,400.0,400.0,0.175,0.7150000000000001,instruct,rl,0.175,0.140903632613942,0.21527958377585044,0.285,0.24297004043196901,0.33112039502589363,0.0,0.0,0.009512640599680667,0.07,0.10499999999999998
instruct,0.8,asch_zhu_unbiased_da,60.0,76.0,46.0,218.0,400.0,400.0,0.19,0.85,instruct,rl,0.19,0.15457325560638852,0.23132458156541352,0.15,0.11834447398799032,0.18831437443178617,0.115,0.08733247792422089,0.14999225533753324,0.07,0.12
instruct,0.8,asch_zhu_unbiased_diverse_plain,58.0,48.0,40.0,254.0,400.0,400.0,0.12,0.855,instruct,rl,0.12,0.09171493428788872,0.1555146725678686,0.145,0.1138699785258184,0.18288399629995486,0.1,0.07429885168964503,0.13331126079009953,0.07,0.04999999999999999
instruct,0.8,asch_zhu_unbiased_qd,56.0,59.0,46.0,239.0,400.0,400.0,0.1475,0.86,instruct,rl,0.1475,0.1161055571050416,0.18560085451773328,0.14,0.10940912065943276,0.17743998057233734,0.115,0.08733247792422089,0.14999225533753324,0.07,0.07749999999999999
instruct,0.8,asch_zhu_unbiased_unanimous_confident,38.0,192.0,40.0,130.0,400.0,400.0,0.48,0.905,instruct,rl,0.48,0.43146252672290986,0.5289179789010773,0.095,0.0699962171700798,0.12770902171566156,0.1,0.07429885168964503,0.13331126079009953,0.07,0.41
instruct,0.8,asch_zhu_unbiased_unanimous_neutral,68.0,190.0,19.0,123.0,400.0,400.0,0.475,0.83,instruct,rl,0.475,0.4265318481465433,0.5239437838834407,0.17,0.13636842234813634,0.20990992044765294,0.0475,0.030616832107668652,0.07299210763504237,0.07,0.40499999999999997
instruct,0.8,asch_zhu_unbiased_unanimous_plain,65.0,84.0,31.0,220.0,400.0,400.0,0.21,0.8375,instruct,rl,0.21,0.17293709734247628,0.2525802342053385,0.1625,0.1295868626510332,0.2018341697537513,0.0775,0.05513258958646752,0.10790559172026265,0.07,0.13999999999999999
instruct,0.8,asch_zhu_unbiased_unanimous_uncertain,84.0,137.0,19.0,160.0,400.0,400.0,0.3425,0.79,instruct,rl,0.3425,0.29769022933249495,0.39030625245640455,0.21,0.17293709734247628,0.2525802342053385,0.0475,0.030616832107668652,0.07299210763504237,0.07,0.2725
instruct,0.8,authoritative_bias,83.0,133.0,4.0,180.0,400.0,400.0,0.3325,0.7925,instruct,rl,0.3325,0.28811717839304024,0.3800695562078528,0.2075,0.17063353432585826,0.24993136042495495,0.01,0.0038954207932788126,0.02542696699440824,0.07,0.2625
instruct,0.8,authority_zhu_unbiased_trust,105.0,123.0,1.0,171.0,400.0,400.0,0.3075,0.7375,instruct,rl,0.3075,0.2642866432019798,0.3543757234288972,0.2625,0.2217860978907582,0.30773240639409016,0.0025,0.00044143642943440895,0.014023640967247855,0.07,0.2375
instruct,0.8,authority_zhu_unbiased_trust_da,100.0,117.0,10.0,173.0,400.0,400.0,0.2925,0.75,instruct,rl,0.2925,0.25006128808159916,0.3388864577672683,0.25,0.21007832849376823,0.29467799180607207,0.025,0.013634943739762435,0.045402064829934204,0.07,0.22249999999999998
instruct,0.8,control,138.0,28.0,17.0,217.0,400.0,400.0,0.07,0.655,instruct,rl,0.07,0.048871304519740505,0.0993095663959849,0.345,0.30008703653936986,0.39286188204653105,0.0425,0.02670146955162519,0.06700259659708263,0.07,0.0
