variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,path,stage,ber_p,ber_lo,ber_hi,ber_control,conformity_effect
base,0.0,control,99.0,21.0,3.0,277.0,400.0,400.0,0.0525,0.7525,shared,base,0.0525,0.03459126500804263,0.07892254832867157,0.0525,0.0
base,0.0,asch_zhu_unbiased_unanimous_confident,17.0,183.0,89.0,111.0,400.0,400.0,0.4575,0.9575,shared,base,0.4575,0.40931270985864554,0.5064958645923273,0.0525,0.405
base,0.0,authoritative_bias,76.0,206.0,2.0,116.0,400.0,400.0,0.515,0.81,shared,base,0.515,0.46611266795606887,0.5636019528259407,0.0525,0.4625
base,0.0,authority_zhu_unbiased_trust,84.0,160.0,27.0,129.0,400.0,400.0,0.4,0.79,shared,base,0.4,0.35316069336620937,0.44874183475372675,0.0525,0.34750000000000003
instruct_sft,0.0,control,146.0,24.0,13.0,217.0,400.0,400.0,0.06,0.635,instruct,sft,0.06,0.0406476805246611,0.0877234432030579,0.06,0.0
instruct_sft,0.0,asch_zhu_unbiased_unanimous_confident,31.0,295.0,15.0,59.0,400.0,400.0,0.7375,0.9225,instruct,sft,0.7375,0.69226759360591,0.7782139021092418,0.06,0.6775
instruct_sft,0.0,authoritative_bias,85.0,173.0,6.0,136.0,400.0,400.0,0.4325,0.7875,instruct,sft,0.4325,0.38481788076603707,0.48146632571491976,0.06,0.3725
instruct_sft,0.0,authority_zhu_unbiased_trust,93.0,151.0,6.0,150.0,400.0,400.0,0.3775,0.7675,instruct,sft,0.3775,0.33137080611490544,0.4259597908320163,0.06,0.3175
instruct_dpo,0.0,control,142.0,26.0,19.0,213.0,400.0,400.0,0.065,0.645,instruct,dpo,0.065,0.04474017569726697,0.09353582162445521,0.065,0.0
instruct_dpo,0.0,asch_zhu_unbiased_unanimous_confident,80.0,156.0,23.0,141.0,400.0,400.0,0.39,0.8,instruct,dpo,0.39,0.3434632828365625,0.4386294980953673,0.065,0.325
instruct_dpo,0.0,authoritative_bias,84.0,129.0,1.0,186.0,400.0,400.0,0.3225,0.79,instruct,dpo,0.3225,0.27856718806945857,0.36980979934342806,0.065,0.2575
instruct_dpo,0.0,authority_zhu_unbiased_trust,116.0,120.0,4.0,160.0,400.0,400.0,0.3,0.71,instruct,dpo,0.3,0.2571669255289339,0.34663813071093835,0.065,0.235
instruct,0.0,control,128.0,28.0,22.0,222.0,400.0,400.0,0.07,0.6799999999999999,instruct,rl,0.07,0.048871304519740505,0.0993095663959849,0.07,0.0
instruct,0.0,asch_zhu_unbiased_unanimous_confident,45.0,203.0,27.0,125.0,400.0,400.0,0.5075,0.8875,instruct,rl,0.5075,0.458667706127959,0.5561896042630459,0.07,0.43749999999999994
instruct,0.0,authoritative_bias,85.0,127.0,2.0,186.0,400.0,400.0,0.3175,0.7875,instruct,rl,0.3175,0.27380100813055436,0.3646711056883291,0.07,0.2475
instruct,0.0,authority_zhu_unbiased_trust,105.0,106.0,11.0,178.0,400.0,400.0,0.265,0.7375,instruct,rl,0.265,0.22413301235879635,0.31033792872305355,0.07,0.195
think_sft,0.0,control,200.0,34.0,10.0,156.0,400.0,400.0,0.085,0.5,think,sft,0.085,0.061462653163424086,0.11643283853431088,0.085,0.0
think_sft,0.0,asch_zhu_unbiased_unanimous_confident,169.0,129.0,1.0,101.0,400.0,400.0,0.3225,0.5775,think,sft,0.3225,0.27856718806945857,0.36980979934342806,0.085,0.2375
think_sft,0.0,authoritative_bias,184.0,106.0,1.0,109.0,400.0,400.0,0.265,0.54,think,sft,0.265,0.22413301235879635,0.31033792872305355,0.085,0.18
think_sft,0.0,authority_zhu_unbiased_trust,161.0,148.0,1.0,90.0,400.0,400.0,0.37,0.5974999999999999,think,sft,0.37,0.32413116790213314,0.4183421186537838,0.085,0.285
think_dpo,0.0,control,194.0,32.0,1.0,173.0,400.0,400.0,0.08,0.515,think,dpo,0.08,0.057235397942962354,0.11075522016076943,0.08,0.0
think_dpo,0.0,asch_zhu_unbiased_unanimous_confident,163.0,114.0,0.0,123.0,400.0,400.0,0.285,0.5925,think,dpo,0.285,0.24297004043196901,0.33112039502589363,0.08,0.20499999999999996
think_dpo,0.0,authoritative_bias,189.0,111.0,0.0,100.0,400.0,400.0,0.2775,0.5275000000000001,think,dpo,0.2775,0.23589351571381517,0.3233396093530428,0.08,0.1975
think_dpo,0.0,authority_zhu_unbiased_trust,183.0,110.0,1.0,106.0,400.0,400.0,0.275,0.5425,think,dpo,0.275,0.2335380071267212,0.32074268114313514,0.08,0.195
think,0.0,control,206.0,24.0,51.0,119.0,400.0,400.0,0.06,0.485,think,rl,0.06,0.0406476805246611,0.0877234432030579,0.06,0.0
think,0.0,asch_zhu_unbiased_unanimous_confident,179.0,117.0,54.0,50.0,400.0,400.0,0.2925,0.5525,think,rl,0.2925,0.25006128808159916,0.3388864577672683,0.06,0.23249999999999998
think,0.0,authoritative_bias,198.0,84.0,24.0,94.0,400.0,400.0,0.21,0.505,think,rl,0.21,0.17293709734247628,0.2525802342053385,0.06,0.15
think,0.0,authority_zhu_unbiased_trust,189.0,106.0,47.0,58.0,400.0,400.0,0.265,0.5275000000000001,think,rl,0.265,0.22413301235879635,0.31033792872305355,0.06,0.20500000000000002
