temperature,variant,dataset_category,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
0.0,base,general,0.55,0.44999999999999996,0.15000000000000002,0.4,0.29999999999999993
0.0,base,knowledge,1.0,1.0,0.9333333333333333,0.06666666666666665,0.06666666666666665
0.0,base,math,0.75,0.8166666666666667,0.7333333333333334,0.016666666666666607,0.08333333333333326
0.0,base,reasoning,0.9333333333333333,0.8666666666666667,0.9,0.033333333333333326,-0.033333333333333326
0.0,base,science,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.0,0.0
0.0,base,truthfulness,1.0,1.0,0.9333333333333333,0.06666666666666665,0.06666666666666665
0.0,instruct,general,0.65,0.95,0.15000000000000002,0.5,0.7999999999999999
0.0,instruct,knowledge,0.9666666666666667,1.0,1.0,-0.033333333333333326,0.0
0.0,instruct,math,0.9,0.9833333333333333,0.7,0.20000000000000007,0.2833333333333333
0.0,instruct,reasoning,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.0,0.06666666666666665
0.0,instruct,science,1.0,1.0,0.9333333333333333,0.06666666666666665,0.06666666666666665
0.0,instruct,truthfulness,0.9666666666666667,1.0,0.9666666666666667,0.0,0.033333333333333326
0.0,instruct_sft,general,0.25,0.55,0.25,0.0,0.30000000000000004
0.0,instruct_sft,knowledge,1.0,1.0,0.9666666666666667,0.033333333333333326,0.033333333333333326
0.0,instruct_sft,math,0.7,0.8333333333333334,0.6333333333333333,0.06666666666666665,0.20000000000000007
0.0,instruct_sft,reasoning,0.9333333333333333,0.9333333333333333,0.8666666666666667,0.06666666666666665,0.06666666666666665
0.0,instruct_sft,science,1.0,0.9333333333333333,0.9,0.09999999999999998,0.033333333333333326
0.0,instruct_sft,truthfulness,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.033333333333333326,0.033333333333333326
0.0,think,general,0.75,0.8,0.5,0.25,0.30000000000000004
0.0,think,knowledge,1.0,0.9666666666666667,1.0,0.0,-0.033333333333333326
0.0,think,math,0.9,0.8833333333333333,0.95,-0.04999999999999993,-0.06666666666666665
0.0,think,reasoning,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.033333333333333326,0.033333333333333326
0.0,think,science,0.9,0.9666666666666667,1.0,-0.09999999999999998,-0.033333333333333326
0.0,think,truthfulness,1.0,0.9666666666666667,1.0,0.0,-0.033333333333333326
0.0,think_sft,general,0.8,0.7,0.44999999999999996,0.3500000000000001,0.25
0.0,think_sft,knowledge,1.0,0.9333333333333333,1.0,0.0,-0.06666666666666665
0.0,think_sft,math,0.8166666666666667,0.8666666666666667,0.8666666666666667,-0.050000000000000044,0.0
0.0,think_sft,reasoning,0.9666666666666667,0.9666666666666667,0.8666666666666667,0.09999999999999998,0.09999999999999998
