model_id,short_name,variant,temperature,condition,n_trials,n_valid_judge,error_rate,refusal_rate,endorsed_rate
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,control,400,386,0.3523316062176166,0.0625,0.04846938775510204
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,authoritative_bias,400,398,0.44472361809045224,0.01,0.195
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,authority_trust,400,399,0.4135338345864662,0.045,0.135
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,llama31_70b_instruct,0.6,asch_zhu_unanimous_confident,400,277,0.7328519855595668,0.7975,0.06647398843930635
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.0,control,400,395,0.3139240506329114,0.0275,0.04314720812182741
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.0,authoritative_bias,400,393,0.38422391857506366,0.0025,0.18781725888324874
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.0,authority_trust,400,396,0.3232323232323232,0.075,0.12280701754385964
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.0,asch_zhu_unanimous_confident,400,395,0.44303797468354433,0.1925,0.24561403508771928
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.6,control,400,396,0.3484848484848485,0.025,0.042821158690176324
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.6,authoritative_bias,400,394,0.36802030456852797,0.0025,0.19899244332493704
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.6,authority_trust,400,398,0.35427135678391963,0.08,0.14321608040201006
meta-llama/llama-4-maverick,Llama-4-Maverick,llama4_maverick,0.6,asch_zhu_unanimous_confident,400,393,0.47073791348600513,0.175,0.26262626262626265
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.0,control,400,385,0.37662337662337664,0.0475,0.06030150753768844
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.0,authoritative_bias,400,398,0.3743718592964824,0.015,0.14285714285714285
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.0,authority_trust,400,398,0.3944723618090452,0.0175,0.1934673366834171
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.0,asch_zhu_unanimous_confident,400,394,0.5964467005076142,0.0375,0.4080604534005038
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.6,control,400,383,0.360313315926893,0.0625,0.05778894472361809
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.6,authoritative_bias,400,400,0.40249999999999997,0.02,0.15288220551378445
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.6,authority_trust,400,396,0.38131313131313127,0.0175,0.1708542713567839
openai/gpt-4o-mini,GPT-4o-Mini,gpt4o_mini,0.6,asch_zhu_unanimous_confident,400,396,0.6212121212121212,0.0425,0.42676767676767674
openai/gpt-oss-20b,GPT-OSS-20B,gpt_oss_20b,0.6,control,400,375,0.3413333333333334,0.085,0.04289544235924933
openai/gpt-oss-20b,GPT-OSS-20B,gpt_oss_20b,0.6,authoritative_bias,400,378,0.41534391534391535,0.015,0.25773195876288657
openai/gpt-oss-20b,GPT-OSS-20B,gpt_oss_20b,0.6,authority_trust,400,385,0.37662337662337664,0.035,0.22938144329896906
openai/gpt-oss-20b,GPT-OSS-20B,gpt_oss_20b,0.6,asch_zhu_unanimous_confident,400,367,0.34059945504087197,0.03,0.19414893617021275
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.0,control,400,375,0.31999999999999995,0.14,0.04221635883905013
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.0,authoritative_bias,400,388,0.29639175257731953,0.0475,0.08080808080808081
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.0,authority_trust,400,395,0.3493670886075949,0.0825,0.13602015113350127
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.0,asch_zhu_unanimous_confident,400,388,0.3402061855670103,0.055,0.08461538461538462
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.6,control,400,376,0.31382978723404253,0.13,0.031914893617021274
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.6,authoritative_bias,400,389,0.3033419023136247,0.04,0.07848101265822785
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.6,authority_trust,400,395,0.3645569620253165,0.0875,0.15829145728643215
x-ai/grok-4.1-fast,Grok-4.1-Fast,grok_41_fast,0.6,asch_zhu_unanimous_confident,400,390,0.3307692307692308,0.0525,0.07197943444730077
