db_path,experiment_group,model_id,variant,temperature,condition_name,n_rows,n_judged,item_count,median_raw_text_len,max_raw_text_len,judge_prompt_version,judge_model
runs/20260327_154401_70860876-c5c2-4445-a59d-e44ae8094887/simulation.db,cross_family_main,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.6,authoritative_bias,400,400,400,675,30830,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154401_70860876-c5c2-4445-a59d-e44ae8094887/simulation.db,cross_family_main,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.6,authority_trust,400,400,400,224,14389,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154401_70860876-c5c2-4445-a59d-e44ae8094887/simulation.db,cross_family_main,meta-llama/llama-3-8b-instruct,llama3_8b_instruct,0.6,control,400,400,400,137,2276,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154412_3a0404f7-bd47-4b25-b2e2-5501e550566f/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,asch_zhu_unanimous_confident,400,400,400,12,574,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154412_3a0404f7-bd47-4b25-b2e2-5501e550566f/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,authoritative_bias,400,400,400,655,2827,"2026-03-27_openrouter_v1,2026-03-28_qwen35_9b_openrouter_v1","openai/gpt-oss-20b,qwen/qwen3.5-flash-02-23"
runs/20260327_154412_3a0404f7-bd47-4b25-b2e2-5501e550566f/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,authority_trust,400,400,400,279,90546,"2026-03-27_openrouter_v1,2026-03-28_qwen35_9b_openrouter_v1","openai/gpt-oss-20b,qwen/qwen3.5-flash-02-23"
runs/20260327_154412_3a0404f7-bd47-4b25-b2e2-5501e550566f/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.0,control,400,400,400,182,37408,"2026-03-27_openrouter_v1,2026-03-28_qwen35_9b_openrouter_v1","openai/gpt-oss-20b,qwen/qwen3.5-flash-02-23"
runs/20260327_154419_49d07104-c14c-4a8b-a013-ae0783c5f3e8/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.6,asch_zhu_unanimous_confident,400,400,400,12,559,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154419_49d07104-c14c-4a8b-a013-ae0783c5f3e8/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.6,authoritative_bias,400,400,400,653,2854,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154419_49d07104-c14c-4a8b-a013-ae0783c5f3e8/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.6,authority_trust,400,400,400,295,72019,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154419_49d07104-c14c-4a8b-a013-ae0783c5f3e8/simulation.db,cross_family_main,meta-llama/llama-3.1-70b-instruct,llama31_70b_instruct,0.6,control,400,400,400,183,33302,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154428_485ddc2d-6cae-4715-835e-76ab72e38159/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.0,asch_zhu_unanimous_confident,400,400,400,345,135987,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154428_485ddc2d-6cae-4715-835e-76ab72e38159/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.0,authoritative_bias,400,400,400,1307,4994,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154428_485ddc2d-6cae-4715-835e-76ab72e38159/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.0,authority_trust,400,400,400,724,4505,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154428_485ddc2d-6cae-4715-835e-76ab72e38159/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.0,control,400,400,400,526,3554,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154435_c2ce0f85-8f67-40f2-a82d-e136927cf6f5/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.6,asch_zhu_unanimous_confident,400,400,400,362,37242,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154435_c2ce0f85-8f67-40f2-a82d-e136927cf6f5/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.6,authoritative_bias,400,400,400,1309,4761,2026-03-27_openrouter_v1,openai/gpt-oss-20b
runs/20260327_154435_c2ce0f85-8f67-40f2-a82d-e136927cf6f5/simulation.db,cross_family_main,meta-llama/llama-4-maverick,llama4_maverick,0.6,authority_trust,400,400,400,723,3672,2026-03-27_openrouter_v1,openai/gpt-oss-20b
