variant,condition,temperature,n,correct,incorrect,accuracy,error_rate
instruct,authority_zhu_unbiased_trust_da,0.2,400,34,316,0.085,0.915
instruct,control,0.2,400,49,301,0.1225,0.8775
instruct_dpo,asch_history_5,0.2,400,28,322,0.07,0.93
instruct_dpo,asch_zhu_unbiased_da,0.2,400,42,308,0.105,0.895
instruct_dpo,asch_zhu_unbiased_diverse_plain,0.2,400,46,304,0.115,0.885
instruct_dpo,asch_zhu_unbiased_qd,0.2,400,43,307,0.1075,0.8925
instruct_dpo,asch_zhu_unbiased_unanimous_confident,0.2,400,37,313,0.0925,0.9075
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,0.2,400,56,294,0.14,0.86
instruct_dpo,asch_zhu_unbiased_unanimous_plain,0.2,400,48,302,0.12,0.88
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,0.2,400,57,293,0.1425,0.8575
instruct_dpo,authoritative_bias,0.2,400,22,328,0.055,0.945
instruct_dpo,authority_zhu_unbiased_trust,0.2,400,29,321,0.0725,0.9275
instruct_dpo,authority_zhu_unbiased_trust_da,0.2,400,34,316,0.085,0.915
instruct_dpo,control,0.2,400,46,304,0.115,0.885
instruct_sft,asch_history_5,0.2,400,40,310,0.1,0.9
instruct_sft,asch_zhu_unbiased_da,0.2,400,33,317,0.0825,0.9175
instruct_sft,asch_zhu_unbiased_diverse_plain,0.2,400,41,309,0.1025,0.8975
instruct_sft,asch_zhu_unbiased_qd,0.2,400,37,313,0.0925,0.9075
instruct_sft,asch_zhu_unbiased_unanimous_confident,0.2,400,21,329,0.0525,0.9475
instruct_sft,asch_zhu_unbiased_unanimous_neutral,0.2,400,21,329,0.0525,0.9475
instruct_sft,asch_zhu_unbiased_unanimous_plain,0.2,400,34,316,0.085,0.915
instruct_sft,asch_zhu_unbiased_unanimous_uncertain,0.2,400,30,320,0.075,0.925
instruct_sft,authoritative_bias,0.2,400,34,316,0.085,0.915
instruct_sft,authority_zhu_unbiased_trust,0.2,400,38,312,0.095,0.905
instruct_sft,authority_zhu_unbiased_trust_da,0.2,400,44,306,0.11,0.89
instruct_sft,control,0.2,400,54,296,0.135,0.865
base,asch_history_5,0.4,400,41,309,0.1025,0.8975
base,asch_zhu_unbiased_da,0.4,400,23,327,0.0575,0.9425
base,asch_zhu_unbiased_diverse_plain,0.4,400,22,328,0.055,0.945
base,asch_zhu_unbiased_qd,0.4,400,31,319,0.0775,0.9225
base,asch_zhu_unbiased_unanimous_confident,0.4,400,22,328,0.055,0.945
base,asch_zhu_unbiased_unanimous_neutral,0.4,400,26,324,0.065,0.935
base,asch_zhu_unbiased_unanimous_plain,0.4,400,21,329,0.0525,0.9475
base,asch_zhu_unbiased_unanimous_uncertain,0.4,400,18,332,0.045,0.955
base,authoritative_bias,0.4,400,28,322,0.07,0.93
base,authority_zhu_unbiased_trust,0.4,400,33,317,0.0825,0.9175
base,authority_zhu_unbiased_trust_da,0.4,400,38,312,0.095,0.905
base,control,0.4,400,42,308,0.105,0.895
