condition_name,variant,n_trials,n_correct,n_refusals,accuracy,error_rate,refusal_rate,n_incorrect
asch_history_5,base,200,58,0,0.29,0.71,0.0,142
asch_history_5,instruct,200,47,0,0.235,0.765,0.0,153
asch_history_5,instruct_sft,200,36,0,0.18,0.8200000000000001,0.0,164
asch_history_5,rl_zero,200,10,4,0.05,0.95,0.02,190
asch_history_5,think,200,57,1,0.285,0.7150000000000001,0.005,143
asch_history_5,think_sft,200,60,1,0.3,0.7,0.005,140
authoritative_bias,base,200,44,7,0.22,0.78,0.035,156
authoritative_bias,instruct,200,43,2,0.215,0.785,0.01,157
authoritative_bias,instruct_sft,200,47,7,0.235,0.765,0.035,153
authoritative_bias,rl_zero,200,9,4,0.045,0.955,0.02,191
authoritative_bias,think,200,49,0,0.245,0.755,0.0,151
authoritative_bias,think_sft,200,61,0,0.305,0.6950000000000001,0.0,139
control,base,200,55,3,0.275,0.725,0.015,145
control,instruct,200,53,1,0.265,0.735,0.005,147
control,instruct_sft,200,55,0,0.275,0.725,0.0,145
control,rl_zero,200,13,1,0.065,0.935,0.005,187
control,think,200,45,5,0.225,0.775,0.025,155
control,think_sft,200,54,6,0.27,0.73,0.03,146
