condition_name,variant,n_trials,n_correct,n_refusals,accuracy,error_rate,refusal_rate,n_incorrect,temperature
asch_history_5,base,200,47,1,0.235,0.765,0.005,153,1.0
asch_history_5,instruct,200,49,0,0.245,0.755,0.0,151,1.0
asch_history_5,instruct_sft,200,37,0,0.185,0.815,0.0,163,1.0
asch_history_5,rl_zero,200,14,0,0.07,0.9299999999999999,0.0,186,1.0
asch_history_5,think,200,46,1,0.23,0.77,0.005,154,1.0
asch_history_5,think_sft,200,55,0,0.275,0.725,0.0,145,1.0
authoritative_bias,base,200,40,1,0.2,0.8,0.005,160,1.0
authoritative_bias,instruct,200,37,1,0.185,0.815,0.005,163,1.0
authoritative_bias,instruct_sft,200,43,1,0.215,0.785,0.005,157,1.0
authoritative_bias,rl_zero,200,7,1,0.035,0.965,0.005,193,1.0
authoritative_bias,think,200,44,2,0.22,0.78,0.01,156,1.0
authoritative_bias,think_sft,200,50,0,0.25,0.75,0.0,150,1.0
control,base,200,49,7,0.245,0.755,0.035,151,1.0
control,instruct,200,53,3,0.265,0.735,0.015,147,1.0
control,instruct_sft,200,52,1,0.26,0.74,0.005,148,1.0
control,rl_zero,200,17,2,0.085,0.915,0.01,183,1.0
control,think,200,41,3,0.205,0.795,0.015,159,1.0
control,think_sft,200,51,2,0.255,0.745,0.01,149,1.0
