variant,n_usable,n_knew_control,n_didnt_know_control,corr_knowledge_vs_endorsement,endorse_rate_if_knew,endorse_rate_if_didnt_know
base,296,80,216,-0.1665399580133119,0.425,0.6111111111111112
instruct_sft,345,139,206,-0.06852206146845903,0.7482014388489209,0.8058252427184466
instruct_dpo,322,131,191,-0.2185530103269612,0.31297709923664124,0.5340314136125655
instruct,302,114,188,-0.07325094886256957,0.5263157894736842,0.601063829787234
think_sft,303,184,119,-0.3942662726794276,0.1956521739130435,0.5798319327731093
think_dpo,268,176,92,-0.40674584051310697,0.17045454545454544,0.5652173913043478
think,309,199,110,-0.36047715146844517,0.18090452261306533,0.5272727272727272
