model_id,model_short,variant,pressure_condition,n_items,n_overridden,truth_override_rate,ci_lo,ci_hi
allenai/Olmo-3-1025-7B,OLMo-7B,base,asch_history_5,99,63,0.6364,0.5382,0.7244
allenai/Olmo-3-7B-Instruct,Olmo-3-7B-Instruct,instruct,asch_history_5,128,66,0.5156,0.4299,0.6005
allenai/Olmo-3-7B-Instruct-DPO,Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_history_5,142,72,0.507,0.4257,0.588
allenai/Olmo-3-7B-Instruct-SFT,Olmo-3-7B-Instruct-SFT,instruct_sft,asch_history_5,146,104,0.7123,0.6342,0.7796
