model_short,variant,condition,condition_label,condition_family,N_ctrl,N_pres,control_error_rate,control_error_ci,control_refusal_rate,pressure_error_rate,pressure_error_ci,pressure_refusal_rate,pressure_endorsement_rate,pressure_endorsement_ci,delta_error,cohens_h
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,Unanimous Uncertain,peer_tone,400,400,0.495,"[0.446, 0.544]",0.0475,0.5825,"[0.534, 0.630]",0.015,0.2675,"[0.226, 0.313]",0.0875,0.1758
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_diverse_plain,Diverse Plain,peer_mitigation,400,400,0.495,"[0.446, 0.544]",0.0475,0.5125,"[0.464, 0.561]",0.1625,0.1225,"[0.094, 0.158]",0.0175,0.035
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_qd,Question Distillation,peer_mitigation,400,400,0.495,"[0.446, 0.544]",0.0475,0.565,"[0.516, 0.613]",0.0875,0.1225,"[0.094, 0.158]",0.07,0.1404
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_da,Devil's Advocate,peer_mitigation,400,400,0.495,"[0.446, 0.544]",0.0475,0.535,"[0.486, 0.583]",0.12,0.1675,"[0.134, 0.207]",0.04,0.0801
Olmo-3-7B-Instruct-DPO,instruct_dpo,authoritative_bias,Authoritative Bias,authority,400,400,0.495,"[0.446, 0.544]",0.0475,0.6,"[0.551, 0.647]",0.0025,0.325,"[0.281, 0.372]",0.105,0.2114
Olmo-3-7B-Instruct-DPO,instruct_dpo,authority_zhu_unbiased_trust,Authority: Trust,authority,400,400,0.495,"[0.446, 0.544]",0.0475,0.5725,"[0.524, 0.620]",0.01,0.3075,"[0.264, 0.354]",0.0775,0.1555
Olmo-3-7B-Instruct-DPO,instruct_dpo,authority_zhu_unbiased_trust_da,Authority: Trust+DA,authority,400,400,0.495,"[0.446, 0.544]",0.0475,0.5925,"[0.544, 0.640]",0.0075,0.31,"[0.267, 0.357]",0.0975,0.1961
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_unanimous_neutral,Unanimous Neutral,peer_tone,400,400,0.495,"[0.446, 0.544]",0.0475,0.6925,"[0.646, 0.736]",0.015,0.4425,"[0.395, 0.491]",0.1975,0.4052
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_history_5,Asch (5 Confederates),peer,400,400,0.52,"[0.471, 0.569]",0.0325,0.8125,"[0.771, 0.848]",0.0,0.6075,"[0.559, 0.654]",0.2925,0.6351
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_plain,Unanimous Plain,peer_tone,400,400,0.52,"[0.471, 0.569]",0.0325,0.77,"[0.726, 0.809]",0.0475,0.5125,"[0.464, 0.561]",0.25,0.5304
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_confident,Unanimous Confident,peer_tone,400,400,0.52,"[0.471, 0.569]",0.0325,0.86,"[0.823, 0.891]",0.0375,0.7375,"[0.692, 0.778]",0.34,0.7638
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_uncertain,Unanimous Uncertain,peer_tone,400,400,0.52,"[0.471, 0.569]",0.0325,0.825,"[0.785, 0.859]",0.02,0.63,"[0.582, 0.676]",0.305,0.6676
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_diverse_plain,Diverse Plain,peer_mitigation,400,400,0.52,"[0.471, 0.569]",0.0325,0.5675,"[0.519, 0.615]",0.15,0.175,"[0.141, 0.215]",0.0475,0.0954
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_qd,Question Distillation,peer_mitigation,400,400,0.52,"[0.471, 0.569]",0.0325,0.65,"[0.602, 0.695]",0.09,0.3075,"[0.264, 0.354]",0.13,0.2647
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_da,Devil's Advocate,peer_mitigation,400,400,0.52,"[0.471, 0.569]",0.0325,0.6925,"[0.646, 0.736]",0.0875,0.4025,"[0.356, 0.451]",0.1725,0.3552
Olmo-3-7B-Instruct-SFT,instruct_sft,authoritative_bias,Authoritative Bias,authority,400,400,0.52,"[0.471, 0.569]",0.0325,0.6625,"[0.615, 0.707]",0.015,0.44,"[0.392, 0.489]",0.1425,0.291
Olmo-3-7B-Instruct-SFT,instruct_sft,authority_zhu_unbiased_trust,Authority: Trust,authority,400,400,0.52,"[0.471, 0.569]",0.0325,0.65,"[0.602, 0.695]",0.015,0.3775,"[0.331, 0.426]",0.13,0.2647
Olmo-3-7B-Instruct-SFT,instruct_sft,authority_zhu_unbiased_trust_da,Authority: Trust+DA,authority,400,400,0.52,"[0.471, 0.569]",0.0325,0.685,"[0.638, 0.729]",0.0075,0.4325,"[0.385, 0.481]",0.165,0.339
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_neutral,Unanimous Neutral,peer_tone,400,400,0.52,"[0.471, 0.569]",0.0325,0.89,"[0.856, 0.917]",0.015,0.7525,"[0.708, 0.792]",0.37,0.8547
