model_short,variant,condition,temperature,n_total,n_correct,n_incorrect,n_refusal,n_endorsed,n_unknown,fixed_N,correct_rate,correct_ci_lo,correct_ci_hi,error_rate,error_ci_lo,error_ci_hi,refusal_rate,refusal_ci_lo,refusal_ci_hi,endorsement_rate,endorsement_ci_lo,endorsement_ci_hi
OLMo-7B,base,asch_zhu_unbiased_unanimous_neutral,0.0,399,18,258,116,214,7,400,0.045,0.0287,0.07,0.645,0.5969,0.6903,0.29,0.2477,0.3363,0.535,0.486,0.5833
OLMo-7B,base,asch_zhu_unbiased_unanimous_neutral,0.2,400,32,282,76,217,10,400,0.08,0.0572,0.1108,0.705,0.6585,0.7476,0.19,0.1546,0.2313,0.5425,0.4935,0.5907
OLMo-7B,base,asch_zhu_unbiased_unanimous_neutral,0.4,400,48,276,57,193,19,400,0.12,0.0917,0.1555,0.69,0.643,0.7333,0.1425,0.1116,0.1802,0.4825,0.4339,0.5314
OLMo-7B,base,asch_zhu_unbiased_unanimous_neutral,0.6,400,47,298,32,199,23,400,0.1175,0.0895,0.1528,0.745,0.7001,0.7852,0.08,0.0572,0.1108,0.4975,0.4488,0.5463
OLMo-7B,base,asch_zhu_unbiased_unanimous_neutral,0.8,400,47,299,20,209,34,400,0.1175,0.0895,0.1528,0.7475,0.7027,0.7876,0.05,0.0326,0.076,0.5225,0.4736,0.571
OLMo-7B,base,asch_zhu_unbiased_unanimous_neutral,1.0,400,39,305,18,208,38,400,0.0975,0.0721,0.1305,0.7625,0.7184,0.8016,0.045,0.0287,0.07,0.52,0.4711,0.5685
OLMo-7B,base,asch_zhu_unbiased_unanimous_plain,0.0,400,27,274,96,244,3,400,0.0675,0.0468,0.0964,0.685,0.6379,0.7286,0.24,0.2007,0.2842,0.61,0.5614,0.6565
OLMo-7B,base,asch_zhu_unbiased_unanimous_plain,0.2,400,31,304,57,258,8,400,0.0775,0.0551,0.1079,0.76,0.7158,0.7993,0.1425,0.1116,0.1802,0.645,0.5969,0.6903
OLMo-7B,base,asch_zhu_unbiased_unanimous_plain,0.4,400,45,303,38,241,14,400,0.1125,0.0851,0.1472,0.7575,0.7132,0.7969,0.095,0.07,0.1277,0.6025,0.5538,0.6493
OLMo-7B,base,asch_zhu_unbiased_unanimous_plain,0.6,400,52,290,30,221,28,400,0.13,0.1005,0.1665,0.725,0.6793,0.7665,0.075,0.053,0.105,0.5525,0.5035,0.6005
