variant,mitigation_condition,n_pairs,b_plain_yes_mit_no,c_plain_no_mit_yes,plain_agree_rate,mit_agree_rate,delta_agree,mcnemar_p
base,asch_zhu_unbiased_da,2394,315,222,0.285296574770259,0.24644945697577275,-0.03884711779448624,6.912275323598767e-05
base,asch_zhu_unbiased_qd,2391,368,310,0.2848180677540778,0.26056043496445,-0.02425763278962778,0.028517394226372433
instruct,asch_zhu_unbiased_da,2395,204,115,0.1707724425887265,0.1336116910229645,-0.03716075156576201,7.127031618735759e-07
instruct,asch_zhu_unbiased_qd,2394,276,277,0.170843776106934,0.17126148705096073,0.0004177109440267335,0.9999999999999998
instruct_dpo,asch_zhu_unbiased_da,2391,194,165,0.15098285236302803,0.13885403596821413,-0.01212881639481389,0.13935710194324266
instruct_dpo,asch_zhu_unbiased_qd,2385,248,310,0.15136268343815515,0.17735849056603772,0.025995807127882575,0.009751154411856058
instruct_sft,asch_zhu_unbiased_da,2396,241,109,0.23330550918196996,0.1782136894824708,-0.05509181969949917,1.3736397144931897e-12
instruct_sft,asch_zhu_unbiased_qd,2394,278,209,0.233500417710944,0.2046783625730994,-0.02882205513784461,0.0020294759488405528
