model_short,variant,condition,n_total,n_correct,n_incorrect,n_refusal,n_endorsed,n_unknown,fixed_N,correct_rate,correct_ci_lo,correct_ci_hi,error_rate,error_ci_lo,error_ci_hi,refusal_rate,refusal_ci_lo,refusal_ci_hi,endorsement_rate,endorsement_ci_lo,endorsement_ci_hi
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_unanimous_neutral,400,97,277,6,177,20,400,0.2425,0.2031,0.2868,0.6925,0.6456,0.7357,0.015,0.0069,0.0323,0.4425,0.3946,0.4915
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_unanimous_plain,400,111,229,30,70,30,400,0.2775,0.2359,0.3233,0.5725,0.5236,0.6201,0.075,0.053,0.105,0.175,0.1409,0.2153
Olmo-3-7B-Instruct-DPO,instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,400,127,233,6,107,34,400,0.3175,0.2738,0.3647,0.5825,0.5336,0.6298,0.015,0.0069,0.0323,0.2675,0.2265,0.3129
Olmo-3-7B-Instruct-DPO,instruct_dpo,authoritative_bias,400,84,240,1,130,75,400,0.21,0.1729,0.2526,0.6,0.5513,0.6468,0.0025,0.0004,0.014,0.325,0.281,0.3724
Olmo-3-7B-Instruct-DPO,instruct_dpo,authority_zhu_unbiased_trust,400,116,229,4,123,51,400,0.29,0.2477,0.3363,0.5725,0.5236,0.6201,0.01,0.0039,0.0254,0.3075,0.2643,0.3544
Olmo-3-7B-Instruct-DPO,instruct_dpo,authority_zhu_unbiased_trust_da,400,108,237,3,124,52,400,0.27,0.2288,0.3155,0.5925,0.5437,0.6396,0.0075,0.0026,0.0218,0.31,0.2667,0.357
Olmo-3-7B-Instruct-DPO,instruct_dpo,control,400,142,198,19,27,41,400,0.355,0.3097,0.4031,0.495,0.4463,0.5438,0.0475,0.0306,0.073,0.0675,0.0468,0.0964
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_history_5,400,52,325,0,243,23,400,0.13,0.1005,0.1665,0.8125,0.7713,0.8477,0.0,0.0,0.0095,0.6075,0.5588,0.6541
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_da,400,69,277,35,161,19,400,0.1725,0.1386,0.2126,0.6925,0.6456,0.7357,0.0875,0.0636,0.1193,0.4025,0.3556,0.4513
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_diverse_plain,400,85,227,60,70,28,400,0.2125,0.1752,0.2552,0.5675,0.5185,0.6152,0.15,0.1183,0.1883,0.175,0.1409,0.2153
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_qd,400,59,260,36,123,45,400,0.1475,0.1161,0.1856,0.65,0.602,0.6951,0.09,0.0657,0.1221,0.3075,0.2643,0.3544
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_confident,400,31,344,15,295,10,400,0.0775,0.0551,0.1079,0.86,0.8226,0.8906,0.0375,0.0229,0.0609,0.7375,0.6923,0.7782
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_neutral,400,32,356,6,301,6,400,0.08,0.0572,0.1108,0.89,0.8555,0.917,0.015,0.0069,0.0323,0.7525,0.7079,0.7923
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_plain,400,58,308,19,205,15,400,0.145,0.1139,0.1829,0.77,0.7263,0.8086,0.0475,0.0306,0.073,0.5125,0.4636,0.5611
Olmo-3-7B-Instruct-SFT,instruct_sft,asch_zhu_unbiased_unanimous_uncertain,400,51,330,8,252,11,400,0.1275,0.0983,0.1638,0.825,0.7847,0.8591,0.02,0.0102,0.039,0.63,0.5817,0.6759
Olmo-3-7B-Instruct-SFT,instruct_sft,authoritative_bias,400,85,265,6,176,44,400,0.2125,0.1752,0.2552,0.6625,0.6148,0.7071,0.015,0.0069,0.0323,0.44,0.3922,0.489
Olmo-3-7B-Instruct-SFT,instruct_sft,authority_zhu_unbiased_trust,400,93,260,6,151,41,400,0.2325,0.1938,0.2763,0.65,0.602,0.6951,0.015,0.0069,0.0323,0.3775,0.3314,0.426
Olmo-3-7B-Instruct-SFT,instruct_sft,authority_zhu_unbiased_trust_da,400,87,274,3,173,36,400,0.2175,0.1799,0.2605,0.685,0.6379,0.7286,0.0075,0.0026,0.0218,0.4325,0.3848,0.4815
Olmo-3-7B-Instruct-SFT,instruct_sft,control,400,146,208,13,24,33,400,0.365,0.3193,0.4133,0.52,0.4711,0.5685,0.0325,0.0191,0.0548,0.06,0.0406,0.0877
