model_id,short_name,architecture,n_paired,ber_with_system_prompt,ber_with_lo,ber_with_hi,ber_without_system_prompt,ber_without_lo,ber_without_hi,delta_without_minus_with,mcnemar_b_novel_without_sys,mcnemar_c_recovered_with_sys,mcnemar_chi2_yates,mcnemar_p_value,mcnemar_odds_ratio
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,dense,400,0.045,0.028651223384090457,0.07000527956161895,0.25,0.21007832849376823,0.29467799180607207,0.20500000000000002,88,6,69.79787234042553,1.1102230246251565e-16,14.666666666666666
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,dense,400,0.4075,0.3604472385805353,0.4563125999304055,0.39,0.3434632828365625,0.4386294980953673,-0.01749999999999996,56,63,0.3025210084033613,0.5823062744132168,0.8888888888888888
