model_id,short_name,architecture,condition,n_denominator,state_A_n,state_B_n,state_C_n,state_D_n,ber,ber_lo,ber_hi
allenai/olmo-3.1-32b-instruct,OLMo-32B-Instruct,dense,ngram_sequence_baseline,400,128,181,10,81,0.4525,0.40440392129266217,0.5014997795643075
meta-llama/llama-3.1-70b-instruct,Llama-3.1-70B,dense,ngram_sequence_baseline,400,168,143,0,89,0.3575,0.3120919798753237,0.40561912269558525
