variant,n_conforming_items,n_never_conform,total_item_profiles,tc_mean,tc_median,tc_at_0.0,tc_at_0.2,tc_at_0.4,tc_at_0.6,tc_at_0.8,tc_at_1.0,tc_mean_ci_lower,tc_mean_ci_upper
base,2585,1815,4400,0.2434,0.0,1378,352,277,225,200,153,0.231,0.256
instruct,1718,2682,4400,0.2726,0.0,930,179,145,127,193,144,0.256,0.2893
instruct_sft,1909,2491,4400,0.2205,0.0,1179,184,145,113,148,140,0.2059,0.2357
instruct_dpo,1811,2589,4400,0.3135,0.2,835,248,186,125,241,176,0.2967,0.3303
think,2305,2095,4400,0.2802,0.2,1112,369,215,157,301,151,0.2665,0.2941
think_sft,2289,2111,4400,0.2841,0.2,1040,418,236,173,267,155,0.2704,0.2981
think_dpo,2664,1736,4400,0.3479,0.2,1156,349,214,150,568,227,0.3338,0.3619
