variant,asch_history_5,authoritative_bias,control,delta_asch,delta_authority
base,0.8259375,0.8232291666666667,0.7954166666666667,0.03052083333333333,0.027812500000000018
instruct,0.8194791666666666,0.8640625,0.796875,0.022604166666666647,0.06718749999999996
instruct_sft,0.8621875,0.8133333333333334,0.7569791666666666,0.10520833333333335,0.056354166666666705
think,0.8597785977859779,0.8736059479553904,0.8560885608856088,0.0036900369003690647,0.017517387069781565
