preference_type,n,delta_max_run_median,delta_max_run_cliffs,delta_struct_jaccard_median,delta_struct_jaccard_cliffs,delta_ngram_overlap_median,delta_ngram_overlap_cliffs,delta_consensus_hits_median,delta_consensus_hits_cliffs
delta_learning,2396,0.0000,-0.0570,0.0000,0.0196,0.0140,0.1756,0.0000,-0.0008
llm_judged,2397,0.0000,-0.0671,0.0000,0.0438,0.0000,0.0344,0.0000,0.0000
multiturn_self_talk,124,0.0000,0.0000,0.0000,-0.0929,0.0492,0.2888,0.0000,0.0000
multiturn_synthetic_context,79,0.0000,-0.0253,0.0000,-0.0167,0.0091,0.1391,0.0000,0.0000
