variant,temperature,condition_name,n_denominator,state_B_n,ber,ber_p,ber_lo,ber_hi
base,0.8,authoritative_bias,400.0,201.0,0.5025,0.5025,0.4537104387832728,0.5512419980137288
base,0.8,authority_zhu_unbiased_trust,400.0,189.0,0.4725,0.4725,0.4240683265333157,0.5214548686996666
base,0.8,authority_zhu_unbiased_trust_da,400.0,159.0,0.3975,0.3975,0.3507344059122796,0.446215685410655
base,0.8,control,400.0,19.0,0.0475,0.0475,0.030616832107668652,0.07299210763504237
base,1.0,asch_history_5,400.0,181.0,0.4525,0.4525,0.40440392129266217,0.5014997795643075
base,1.0,asch_zhu_unbiased_da,400.0,164.0,0.41,0.41,0.36287863529353875,0.4588336400144037
base,1.0,asch_zhu_unbiased_diverse_plain,400.0,79.0,0.1975,0.1975,0.16144205642368673,0.2393130911391201
base,1.0,asch_zhu_unbiased_qd,400.0,144.0,0.36,0.36,0.31449710298654476,0.40816643638136574
base,1.0,asch_zhu_unbiased_unanimous_confident,400.0,197.0,0.4925,0.4925,0.4438103957369542,0.5413322938720411
base,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,208.0,0.52,0.52,0.4710820210989227,0.5685374732770901
base,1.0,asch_zhu_unbiased_unanimous_plain,400.0,204.0,0.51,0.51,0.4611481516482723,0.558661595539734
base,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,172.0,0.43,0.43,0.3823751858037104,0.4789565838802449
base,1.0,authoritative_bias,400.0,165.0,0.4125,0.4125,0.36531130012981505,0.461353411975129
base,1.0,authority_zhu_unbiased_trust,400.0,207.0,0.5175,0.5175,0.4685967396420818,0.5660703179369293
base,1.0,authority_zhu_unbiased_trust_da,400.0,157.0,0.3925,0.3925,0.34588569643429457,0.44115952129463676
base,1.0,control,400.0,19.0,0.0475,0.0475,0.030616832107668652,0.07299210763504237
instruct,0.0,asch_history_5,400.0,82.0,0.205,0.205,0.1683322182508118,0.24728023970299978
instruct,0.0,asch_zhu_unbiased_da,400.0,87.0,0.2175,0.2175,0.17986098131336697,0.2605136606254526
instruct,0.0,asch_zhu_unbiased_diverse_plain,400.0,46.0,0.115,0.115,0.08733247792422089,0.14999225533753324
instruct,0.0,asch_zhu_unbiased_qd,400.0,58.0,0.145,0.145,0.1138699785258184,0.18288399629995486
instruct,0.0,asch_zhu_unbiased_unanimous_confident,400.0,203.0,0.5075,0.5075,0.458667706127959,0.5561896042630459
instruct,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,198.0,0.495,0.495,0.44628359498707637,0.5438115314189205
instruct,0.0,asch_zhu_unbiased_unanimous_plain,400.0,94.0,0.235,0.235,0.1960903097272598,0.278951389790571
instruct,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,135.0,0.3375,0.3375,0.29290085318846415,0.3851907550064321
instruct,0.0,authoritative_bias,400.0,127.0,0.3175,0.3175,0.27380100813055436,0.3646711056883291
instruct,0.0,authority_zhu_unbiased_trust,400.0,106.0,0.265,0.265,0.22413301235879635,0.31033792872305355
instruct,0.0,authority_zhu_unbiased_trust_da,400.0,125.0,0.3125,0.3125,0.26904080101876354,0.35952643920611665
instruct,0.0,control,400.0,28.0,0.07,0.07,0.048871304519740505,0.0993095663959849
instruct,0.2,asch_history_5,400.0,77.0,0.1925,0.1925,0.15686042573701753,0.2339898482317861
instruct,0.2,asch_zhu_unbiased_da,400.0,90.0,0.225,0.225,0.18680409020181676,0.2684278621280076
instruct,0.2,asch_zhu_unbiased_diverse_plain,400.0,48.0,0.12,0.12,0.09171493428788872,0.1555146725678686
instruct,0.2,asch_zhu_unbiased_qd,400.0,63.0,0.1575,0.1575,0.1250805930171134,0.19643556579366786
instruct,0.2,asch_zhu_unbiased_unanimous_confident,400.0,212.0,0.53,0.53,0.48103525950149856,0.5783939820625206
instruct,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,194.0,0.485,0.485,0.4363980471740593,0.5338873320439311
instruct,0.2,asch_zhu_unbiased_unanimous_plain,400.0,93.0,0.2325,0.2325,0.1937657455982035,0.2763235171226257
instruct,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,133.0,0.3325,0.3325,0.28811717839304024,0.3800695562078528
instruct,0.2,authoritative_bias,400.0,116.0,0.29,0.29,0.24769592405093643,0.3362993850009294
instruct,0.2,authority_zhu_unbiased_trust,400.0,110.0,0.275,0.275,0.2335380071267212,0.32074268114313514
instruct,0.2,authority_zhu_unbiased_trust_da,400.0,125.0,0.3125,0.3125,0.26904080101876354,0.35952643920611665
instruct,0.2,control,400.0,30.0,0.075,0.075,0.053037406335715714,0.10504833817401285
instruct,0.4,asch_history_5,400.0,78.0,0.195,0.195,0.15915003771249597,0.23665267305330928
instruct,0.4,asch_zhu_unbiased_da,400.0,84.0,0.21,0.21,0.17293709734247628,0.2525802342053385
instruct,0.4,asch_zhu_unbiased_diverse_plain,400.0,50.0,0.125,0.125,0.09611465529837437,0.16101982515138613
instruct,0.4,asch_zhu_unbiased_qd,400.0,56.0,0.14,0.14,0.10940912065943276,0.17743998057233734
