variant,temperature,condition_name,state_A_n,state_B_n,state_C_n,state_D_n,n_observed,n_denominator,ber,error_rate,A_correct_p,A_correct_lo,A_correct_hi,B_wrong_endorsed_p,B_wrong_endorsed_lo,B_wrong_endorsed_hi,C_refusal_p,C_refusal_lo,C_refusal_hi,D_unclassified_p,D_unclassified_lo,D_unclassified_hi
base,0.4,asch_zhu_unbiased_da,33.0,199.0,52.0,116.0,400.0,400.0,0.4975,0.9175,0.0825,0.059345516507342,0.11359753839339136,0.4975,0.44875800198627125,0.5462895612167272,0.13,0.10053077315766948,0.16650858088609424,0.29,0.24769592405093643,0.3362993850009294
base,0.4,asch_zhu_unbiased_diverse_plain,46.0,82.0,89.0,183.0,400.0,400.0,0.205,0.885,0.115,0.08733247792422089,0.14999225533753324,0.205,0.1683322182508118,0.24728023970299978,0.2225,0.18448762755400633,0.2657918879788165,0.4575,0.40931270985864554,0.5064958645923273
base,0.4,asch_zhu_unbiased_qd,63.0,144.0,39.0,154.0,400.0,400.0,0.36,0.8425,0.1575,0.1250805930171134,0.19643556579366786,0.36,0.31449710298654476,0.40816643638136574,0.0975,0.07214471685094813,0.1305129588317948,0.385,0.33862235992471207,0.43356554741321446
base,0.4,asch_zhu_unbiased_unanimous_confident,31.0,207.0,43.0,119.0,400.0,400.0,0.5175,0.9225,0.0775,0.05513258958646752,0.10790559172026265,0.5175,0.4685967396420818,0.5660703179369293,0.1075,0.08079329401678037,0.14167412885396896,0.2975,0.25479680042016234,0.34405581902270826
base,0.4,asch_zhu_unbiased_unanimous_neutral,48.0,193.0,57.0,102.0,400.0,400.0,0.4825,0.88,0.12,0.09171493428788872,0.1555146725678686,0.4825,0.4339296820630707,0.5314032603579181,0.1425,0.11163780858819913,0.18016372944057255,0.255,0.21475600851610616,0.2999051853777373
base,0.4,asch_zhu_unbiased_unanimous_plain,45.0,240.0,38.0,77.0,400.0,400.0,0.6,0.8875,0.1125,0.0851480200886654,0.14722427637608715,0.6,0.5512581652462732,0.6468393066337906,0.095,0.0699962171700798,0.12770902171566156,0.1925,0.15686042573701753,0.2339898482317861
base,0.4,asch_zhu_unbiased_unanimous_uncertain,24.0,247.0,18.0,111.0,400.0,400.0,0.6175,0.94,0.06,0.0406476805246611,0.0877234432030579,0.6175,0.5689683892522508,0.6637961402068244,0.045,0.028651223384090457,0.07000527956161895,0.2775,0.23589351571381517,0.3233396093530428
base,0.4,authoritative_bias,82.0,197.0,3.0,118.0,400.0,400.0,0.4925,0.795,0.205,0.1683322182508118,0.24728023970299978,0.4925,0.4438103957369542,0.5413322938720411,0.0075,0.0025538429629852373,0.02181610802770022,0.295,0.2524282507849876,0.3414719318608814
base,0.4,authority_zhu_unbiased_trust,88.0,150.0,28.0,134.0,400.0,400.0,0.375,0.78,0.22,0.18217324955825856,0.26315382917756264,0.375,0.32895626254334526,0.42342189760657495,0.07,0.048871304519740505,0.0993095663959849,0.335,0.29050829925512117,0.3826308721427734
base,0.4,authority_zhu_unbiased_trust_da,82.0,155.0,31.0,132.0,400.0,400.0,0.3875,0.795,0.205,0.1683322182508118,0.24728023970299978,0.3875,0.3410421691577642,0.43609817497716397,0.0775,0.05513258958646752,0.10790559172026265,0.33,0.285727498574661,0.3775067992292304
base,0.4,control,107.0,25.0,11.0,257.0,400.0,400.0,0.0625,0.7324999999999999,0.2675,0.22648167576028763,0.31294170211856387,0.0625,0.04268884343581125,0.09063471708890933,0.0275,0.015423476078524151,0.04856596928817408,0.6425,0.5943808773044147,0.6879080201246762
base,0.6,asch_history_5,75.0,217.0,0.0,108.0,400.0,400.0,0.5425,0.8125,0.1875,0.15228856358904605,0.2286568367857544,0.5425,0.49350413540767263,0.5906872901413545,0.0,0.0,0.009512640599680667,0.27,0.22883207265888467,0.3155437420169685
base,0.6,asch_zhu_unbiased_da,54.0,180.0,37.0,129.0,400.0,400.0,0.45,0.865,0.135,0.10496250056538574,0.17198172707238119,0.45,0.40195136207927884,0.4989999019806892,0.0925,0.06785354688500786,0.12489925520373191,0.3225,0.27856718806945857,0.36980979934342806
base,0.6,asch_zhu_unbiased_diverse_plain,46.0,90.0,64.0,200.0,400.0,400.0,0.225,0.885,0.115,0.08733247792422089,0.14999225533753324,0.225,0.18680409020181676,0.2684278621280076,0.16,0.12733221459300603,0.19913638101477682,0.5,0.4512336165999552,0.5487663834000448
base,0.6,asch_zhu_unbiased_qd,75.0,133.0,17.0,175.0,400.0,400.0,0.3325,0.8125,0.1875,0.15228856358904605,0.2286568367857544,0.3325,0.28811717839304024,0.3800695562078528,0.0425,0.02670146955162519,0.06700259659708263,0.4375,0.3897069912730114,0.4864820888019487
base,0.6,asch_zhu_unbiased_unanimous_confident,44.0,214.0,25.0,117.0,400.0,400.0,0.535,0.89,0.11,0.08296824650193971,0.14445161316581123,0.535,0.4860191592087707,0.5833149559492518,0.0625,0.04268884343581125,0.09063471708890933,0.2925,0.25006128808159916,0.3388864577672683
base,0.6,asch_zhu_unbiased_unanimous_neutral,47.0,198.0,32.0,123.0,400.0,400.0,0.495,0.8825000000000001,0.1175,0.08952149033047882,0.1527556797282769,0.495,0.44628359498707637,0.5438115314189205,0.08,0.057235397942962354,0.11075522016076943,0.3075,0.2642866432019798,0.3543757234288972
base,0.6,asch_zhu_unbiased_unanimous_plain,52.0,220.0,30.0,98.0,400.0,400.0,0.55,0.87,0.13,0.10053077315766948,0.16650858088609424,0.55,0.5010000980193108,0.5980486379207213,0.075,0.053037406335715714,0.10504833817401285,0.245,0.20540805053884156,0.28944339616699555
base,0.6,asch_zhu_unbiased_unanimous_uncertain,36.0,216.0,26.0,122.0,400.0,400.0,0.54,0.91,0.09,0.065716912967122,0.12208345232461616,0.54,0.4910079246678604,0.5882310640841653,0.065,0.04474017569726697,0.09353582162445521,0.305,0.2619118577039247,0.3517980721299507
base,0.6,authoritative_bias,63.0,231.0,6.0,100.0,400.0,400.0,0.5775,0.8425,0.1575,0.1250805930171134,0.19643556579366786,0.5775,0.5285801141391775,0.624945426567872,0.015,0.006892197870136998,0.03233506351155325,0.25,0.21007832849376823,0.29467799180607207
base,0.6,authority_zhu_unbiased_trust,80.0,167.0,22.0,131.0,400.0,400.0,0.4175,0.8,0.2,0.16373644787133712,0.24197113648847135,0.4175,0.370180420494612,0.46638916520433527,0.055,0.036598221864059276,0.08186802826965653,0.3275,0.2833392679681935,0.3749425930386963
base,0.6,authority_zhu_unbiased_trust_da,74.0,142.0,30.0,154.0,400.0,400.0,0.355,0.815,0.185,0.15000638716506282,0.225986576412736,0.355,0.30968822623349224,0.4030704395404151,0.075,0.053037406335715714,0.10504833817401285,0.385,0.33862235992471207,0.43356554741321446
base,0.6,control,95.0,24.0,8.0,273.0,400.0,400.0,0.06,0.7625,0.2375,0.19841684319432581,0.2815772931205065,0.06,0.0406476805246611,0.0877234432030579,0.02,0.010168264597915496,0.038963870377777945,0.6825,0.6353288943116709,0.7261989918694457
base,0.8,asch_history_5,78.0,202.0,0.0,120.0,400.0,400.0,0.505,0.8049999999999999,0.195,0.15915003771249597,0.23665267305330928,0.505,0.4561884685810796,0.5537164050129236,0.0,0.0,0.009512640599680667,0.3,0.2571669255289339,0.34663813071093835
base,0.8,asch_zhu_unbiased_da,45.0,184.0,46.0,125.0,400.0,400.0,0.46,0.8875,0.1125,0.0851480200886654,0.14722427637608715,0.46,0.4117689359158348,0.5089920753321397,0.115,0.08733247792422089,0.14999225533753324,0.3125,0.26904080101876354,0.35952643920611665
base,0.8,asch_zhu_unbiased_diverse_plain,57.0,80.0,57.0,206.0,400.0,400.0,0.2,0.8575,0.1425,0.11163780858819913,0.18016372944057255,0.2,0.16373644787133712,0.24197113648847135,0.1425,0.11163780858819913,0.18016372944057255,0.515,0.46611266795606887,0.5636019528259407
base,0.8,asch_zhu_unbiased_qd,64.0,131.0,14.0,191.0,400.0,400.0,0.3275,0.84,0.16,0.12733221459300603,0.19913638101477682,0.3275,0.2833392679681935,0.3749425930386963,0.035,0.0209610999014911,0.05788565585621193,0.4775,0.4289965818287492,0.5264314869982364
base,0.8,asch_zhu_unbiased_unanimous_confident,46.0,213.0,19.0,122.0,400.0,400.0,0.5325,0.885,0.115,0.08733247792422089,0.14999225533753324,0.5325,0.48352660176021306,0.5808550766008076,0.0475,0.030616832107668652,0.07299210763504237,0.305,0.2619118577039247,0.3517980721299507
base,0.8,asch_zhu_unbiased_unanimous_neutral,47.0,208.0,20.0,125.0,400.0,400.0,0.52,0.8825000000000001,0.1175,0.08952149033047882,0.1527556797282769,0.52,0.4710820210989227,0.5685374732770901,0.05,0.0325971756266401,0.07596420091307252,0.3125,0.26904080101876354,0.35952643920611665
base,0.8,asch_zhu_unbiased_unanimous_plain,51.0,217.0,25.0,107.0,400.0,400.0,0.5425,0.8725,0.1275,0.09832071558850791,0.16376620165825423,0.5425,0.49350413540767263,0.5906872901413545,0.0625,0.04268884343581125,0.09063471708890933,0.2675,0.22648167576028763,0.31294170211856387
base,0.8,asch_zhu_unbiased_unanimous_uncertain,38.0,191.0,17.0,154.0,400.0,400.0,0.4775,0.905,0.095,0.0699962171700798,0.12770902171566156,0.4775,0.4289965818287492,0.5264314869982364,0.0425,0.02670146955162519,0.06700259659708263,0.385,0.33862235992471207,0.43356554741321446
base,0.8,authoritative_bias,73.0,201.0,13.0,113.0,400.0,400.0,0.5025,0.8175,0.1825,0.14772676508161553,0.2233137616991817,0.5025,0.4537104387832728,0.5512419980137288,0.0325,0.019089659086961887,0.054804659873739545,0.2825,0.24060954581038724,0.3285284528504738
base,0.8,authority_zhu_unbiased_trust,71.0,189.0,14.0,126.0,400.0,400.0,0.4725,0.8225,0.1775,0.14317534561717957,0.21796030756961446,0.4725,0.4240683265333157,0.5214548686996666,0.035,0.0209610999014911,0.05788565585621193,0.315,0.27142015327845737,0.36209952374342447
base,0.8,authority_zhu_unbiased_trust_da,63.0,159.0,13.0,165.0,400.0,400.0,0.3975,0.8425,0.1575,0.1250805930171134,0.19643556579366786,0.3975,0.3507344059122796,0.446215685410655,0.0325,0.019089659086961887,0.054804659873739545,0.4125,0.36531130012981505,0.461353411975129
base,0.8,control,107.0,19.0,7.0,267.0,400.0,400.0,0.0475,0.7324999999999999,0.2675,0.22648167576028763,0.31294170211856387,0.0475,0.030616832107668652,0.07299210763504237,0.0175,0.008502182660789141,0.03567751551790271,0.6675,0.6199304437921472,0.7118828216069598
base,1.0,asch_history_5,73.0,181.0,0.0,146.0,400.0,400.0,0.4525,0.8175,0.1825,0.14772676508161553,0.2233137616991817,0.4525,0.40440392129266217,0.5014997795643075,0.0,0.0,0.009512640599680667,0.365,0.3193114328639272,0.41325698009798656
base,1.0,asch_zhu_unbiased_da,46.0,164.0,24.0,166.0,400.0,400.0,0.41,0.885,0.115,0.08733247792422089,0.14999225533753324,0.41,0.36287863529353875,0.4588336400144037,0.06,0.0406476805246611,0.0877234432030579,0.415,0.36774522964195816,0.46387191925998755
base,1.0,asch_zhu_unbiased_diverse_plain,59.0,79.0,44.0,218.0,400.0,400.0,0.1975,0.8525,0.1475,0.1161055571050416,0.18560085451773328,0.1975,0.16144205642368673,0.2393130911391201,0.11,0.08296824650193971,0.14445161316581123,0.545,0.4960015667969213,0.5931422955491075
base,1.0,asch_zhu_unbiased_qd,62.0,144.0,18.0,176.0,400.0,400.0,0.36,0.845,0.155,0.12283205544731421,0.19373166656646548,0.36,0.31449710298654476,0.40816643638136574,0.045,0.028651223384090457,0.07000527956161895,0.44,0.3921534019514147,0.48898811492054695
base,1.0,asch_zhu_unbiased_unanimous_confident,53.0,197.0,18.0,132.0,400.0,400.0,0.4925,0.8674999999999999,0.1325,0.10274473201637832,0.16924705882438698,0.4925,0.4438103957369542,0.5413322938720411,0.045,0.028651223384090457,0.07000527956161895,0.33,0.285727498574661,0.3775067992292304
base,1.0,asch_zhu_unbiased_unanimous_neutral,39.0,208.0,18.0,135.0,400.0,400.0,0.52,0.9025,0.0975,0.07214471685094813,0.1305129588317948,0.52,0.4710820210989227,0.5685374732770901,0.045,0.028651223384090457,0.07000527956161895,0.3375,0.29290085318846415,0.3851907550064321
base,1.0,asch_zhu_unbiased_unanimous_plain,50.0,204.0,19.0,127.0,400.0,400.0,0.51,0.875,0.125,0.09611465529837437,0.16101982515138613,0.51,0.4611481516482723,0.558661595539734,0.0475,0.030616832107668652,0.07299210763504237,0.3175,0.27380100813055436,0.3646711056883291
base,1.0,asch_zhu_unbiased_unanimous_uncertain,46.0,172.0,18.0,164.0,400.0,400.0,0.43,0.885,0.115,0.08733247792422089,0.14999225533753324,0.43,0.3823751858037104,0.4789565838802449,0.045,0.028651223384090457,0.07000527956161895,0.41,0.36287863529353875,0.4588336400144037
base,1.0,authoritative_bias,74.0,165.0,3.0,158.0,400.0,400.0,0.4125,0.815,0.185,0.15000638716506282,0.225986576412736,0.4125,0.36531130012981505,0.461353411975129,0.0075,0.0025538429629852373,0.02181610802770022,0.395,0.3483094055511242,0.44368824897480874
base,1.0,authority_zhu_unbiased_trust,68.0,207.0,5.0,120.0,400.0,400.0,0.5175,0.83,0.17,0.13636842234813634,0.20990992044765294,0.5175,0.4685967396420818,0.5660703179369293,0.0125,0.005350671853550634,0.02892415273113802,0.3,0.2571669255289339,0.34663813071093835
base,1.0,authority_zhu_unbiased_trust_da,66.0,157.0,19.0,158.0,400.0,400.0,0.3925,0.835,0.165,0.13184448183586026,0.2045289873659258,0.3925,0.34588569643429457,0.44115952129463676,0.0475,0.030616832107668652,0.07299210763504237,0.395,0.3483094055511242,0.44368824897480874
base,1.0,control,107.0,19.0,8.0,266.0,400.0,400.0,0.0475,0.7324999999999999,0.2675,0.22648167576028763,0.31294170211856387,0.0475,0.030616832107668652,0.07299210763504237,0.02,0.010168264597915496,0.038963870377777945,0.665,0.6173691278572266,0.7094917007448789
instruct,0.0,asch_history_5,101.0,82.0,0.0,217.0,400.0,400.0,0.205,0.7475,0.2525,0.21241625232287653,0.2972925047739654,0.205,0.1683322182508118,0.24728023970299978,0.0,0.0,0.009512640599680667,0.5425,0.49350413540767263,0.5906872901413545
instruct,0.0,asch_zhu_unbiased_da,80.0,87.0,42.0,191.0,400.0,400.0,0.2175,0.8,0.2,0.16373644787133712,0.24197113648847135,0.2175,0.17986098131336697,0.2605136606254526,0.105,0.07862330722943671,0.138891678844311,0.4775,0.4289965818287492,0.5264314869982364
instruct,0.0,asch_zhu_unbiased_diverse_plain,66.0,46.0,62.0,226.0,400.0,400.0,0.115,0.835,0.165,0.13184448183586026,0.2045289873659258,0.115,0.08733247792422089,0.14999225533753324,0.155,0.12283205544731421,0.19373166656646548,0.565,0.516025173472477,0.6127381832495644
instruct,0.0,asch_zhu_unbiased_qd,74.0,58.0,49.0,219.0,400.0,400.0,0.145,0.815,0.185,0.15000638716506282,0.225986576412736,0.145,0.1138699785258184,0.18288399629995486,0.1225,0.09391269296642377,0.15826935068633516,0.5475,0.4985002204356925,0.5955960787073378
instruct,0.0,asch_zhu_unbiased_unanimous_confident,45.0,203.0,27.0,125.0,400.0,400.0,0.5075,0.8875,0.1125,0.0851480200886654,0.14722427637608715,0.5075,0.458667706127959,0.5561896042630459,0.0675,0.046801154899328234,0.09642727921939556,0.3125,0.26904080101876354,0.35952643920611665
instruct,0.0,asch_zhu_unbiased_unanimous_neutral,77.0,198.0,9.0,116.0,400.0,400.0,0.495,0.8075,0.1925,0.15686042573701753,0.2339898482317861,0.495,0.44628359498707637,0.5438115314189205,0.0225,0.011881448169963291,0.04220312360273175,0.29,0.24769592405093643,0.3362993850009294
instruct,0.0,asch_zhu_unbiased_unanimous_plain,79.0,94.0,34.0,193.0,400.0,400.0,0.235,0.8025,0.1975,0.16144205642368673,0.2393130911391201,0.235,0.1960903097272598,0.278951389790571,0.085,0.061462653163424086,0.11643283853431088,0.4825,0.4339296820630707,0.5314032603579181
instruct,0.0,asch_zhu_unbiased_unanimous_uncertain,98.0,135.0,13.0,154.0,400.0,400.0,0.3375,0.755,0.245,0.20540805053884156,0.28944339616699555,0.3375,0.29290085318846415,0.3851907550064321,0.0325,0.019089659086961887,0.054804659873739545,0.385,0.33862235992471207,0.43356554741321446
instruct,0.0,authoritative_bias,85.0,127.0,2.0,186.0,400.0,400.0,0.3175,0.7875,0.2125,0.17524287819884765,0.2552268901459687,0.3175,0.27380100813055436,0.3646711056883291,0.005,0.0013722242215711469,0.018045289972112716,0.465,0.4166850440507483,0.5139808407912294
instruct,0.0,authority_zhu_unbiased_trust,105.0,106.0,11.0,178.0,400.0,400.0,0.265,0.7375,0.2625,0.2217860978907582,0.30773240639409016,0.265,0.22413301235879635,0.31033792872305355,0.0275,0.015423476078524151,0.04856596928817408,0.445,0.3970499227484684,0.4939964677174965
instruct,0.0,authority_zhu_unbiased_trust_da,98.0,125.0,10.0,167.0,400.0,400.0,0.3125,0.755,0.245,0.20540805053884156,0.28944339616699555,0.3125,0.26904080101876354,0.35952643920611665,0.025,0.013634943739762435,0.045402064829934204,0.4175,0.370180420494612,0.46638916520433527
instruct,0.0,control,128.0,28.0,22.0,222.0,400.0,400.0,0.07,0.6799999999999999,0.32,0.2761833561331949,0.3672411944826901,0.07,0.048871304519740505,0.0993095663959849,0.055,0.036598221864059276,0.08186802826965653,0.555,0.5060035322825036,0.6029500772515317
instruct,0.2,asch_history_5,108.0,77.0,0.0,215.0,400.0,400.0,0.1925,0.73,0.27,0.22883207265888467,0.3155437420169685,0.1925,0.15686042573701753,0.2339898482317861,0.0,0.0,0.009512640599680667,0.5375,0.4885129330720267,0.5857736188829973
instruct,0.2,asch_zhu_unbiased_da,66.0,90.0,38.0,206.0,400.0,400.0,0.225,0.835,0.165,0.13184448183586026,0.2045289873659258,0.225,0.18680409020181676,0.2684278621280076,0.095,0.0699962171700798,0.12770902171566156,0.515,0.46611266795606887,0.5636019528259407
instruct,0.2,asch_zhu_unbiased_diverse_plain,62.0,48.0,56.0,234.0,400.0,400.0,0.12,0.845,0.155,0.12283205544731421,0.19373166656646548,0.12,0.09171493428788872,0.1555146725678686,0.14,0.10940912065943276,0.17743998057233734,0.585,0.5361280807400124,0.6322547703580419
instruct,0.2,asch_zhu_unbiased_qd,60.0,63.0,42.0,235.0,400.0,400.0,0.1575,0.85,0.15,0.11834447398799032,0.18831437443178617,0.1575,0.1250805930171134,0.19643556579366786,0.105,0.07862330722943671,0.138891678844311,0.5875,0.5386465880248711,0.634688699870185
instruct,0.2,asch_zhu_unbiased_unanimous_confident,43.0,212.0,31.0,114.0,400.0,400.0,0.53,0.8925,0.1075,0.08079329401678037,0.14167412885396896,0.53,0.48103525950149856,0.5783939820625206,0.0775,0.05513258958646752,0.10790559172026265,0.285,0.24297004043196901,0.33112039502589363
instruct,0.2,asch_zhu_unbiased_unanimous_neutral,72.0,194.0,10.0,124.0,400.0,400.0,0.485,0.8200000000000001,0.18,0.1454497374118191,0.22063835257197656,0.485,0.4363980471740593,0.5338873320439311,0.025,0.013634943739762435,0.045402064829934204,0.31,0.26666296102378073,0.35695184240409794
instruct,0.2,asch_zhu_unbiased_unanimous_plain,74.0,93.0,27.0,206.0,400.0,400.0,0.2325,0.815,0.185,0.15000638716506282,0.225986576412736,0.2325,0.1937657455982035,0.2763235171226257,0.0675,0.046801154899328234,0.09642727921939556,0.515,0.46611266795606887,0.5636019528259407
instruct,0.2,asch_zhu_unbiased_unanimous_uncertain,98.0,133.0,7.0,162.0,400.0,400.0,0.3325,0.755,0.245,0.20540805053884156,0.28944339616699555,0.3325,0.28811717839304024,0.3800695562078528,0.0175,0.008502182660789141,0.03567751551790271,0.405,0.35801711355168203,0.45379028816225736
instruct,0.2,authoritative_bias,95.0,116.0,3.0,186.0,400.0,400.0,0.29,0.7625,0.2375,0.19841684319432581,0.2815772931205065,0.29,0.24769592405093643,0.3362993850009294,0.0075,0.0025538429629852373,0.02181610802770022,0.465,0.4166850440507483,0.5139808407912294
instruct,0.2,authority_zhu_unbiased_trust,112.0,110.0,9.0,169.0,400.0,400.0,0.275,0.72,0.28,0.23825069981202085,0.32593486205183864,0.275,0.2335380071267212,0.32074268114313514,0.0225,0.011881448169963291,0.04220312360273175,0.4225,0.375054573432128,0.4714198858608225
