variant,condition_name,n_temperatures,ber_at_t0,ber_at_t06,ber_at_t1,delta_t06_minus_t0,slope_ber_per_T,intercept,spearman_rho_T_vs_ber,reason
base,asch_history_5,6,0.5825,0.5425,0.4525,-0.040000000000000036,-0.12321428571428608,0.5970238095238096,-1.0,
base,asch_zhu_unbiased_da,6,0.5075,0.45,0.41,-0.05749999999999994,-0.10642857142857143,0.5290476190476189,-0.8857142857142858,
base,asch_zhu_unbiased_diverse_plain,6,0.2275,0.225,0.1975,-0.0025000000000000022,-0.036785714285714435,0.2346428571428572,-0.8857142857142858,
base,asch_zhu_unbiased_qd,6,0.36,0.3325,0.36,-0.02749999999999997,-0.048928571428571724,0.3865476190476192,-0.5161002296110789,
base,asch_zhu_unbiased_unanimous_confident,6,0.4575,0.535,0.4925,0.07750000000000001,0.03928571428571391,0.4870238095238097,0.3714285714285715,
base,asch_zhu_unbiased_unanimous_neutral,6,0.5375,0.495,0.52,-0.04249999999999998,-0.020357142857143094,0.5264285714285717,-0.4058397249567139,
base,asch_zhu_unbiased_unanimous_plain,6,0.61,0.55,0.51,-0.05999999999999994,-0.12250000000000034,0.6375000000000002,-0.942857142857143,
base,asch_zhu_unbiased_unanimous_uncertain,6,0.6225,0.54,0.43,-0.08250000000000002,-0.22785714285714323,0.6722619047619048,-0.942857142857143,
base,authoritative_bias,6,0.515,0.5775,0.4125,0.0625,-0.06214285714285753,0.5319047619047621,-0.5428571428571429,
base,authority_zhu_unbiased_trust,6,0.4,0.4175,0.5175,0.01749999999999996,0.13285714285714262,0.359404761904762,0.8285714285714287,
base,authority_zhu_unbiased_trust_da,6,0.4325,0.355,0.3925,-0.07750000000000001,-0.02250000000000021,0.4008333333333335,-0.08571428571428573,
base,control,6,0.0525,0.06,0.0475,0.0075,-0.017857142857142863,0.06726190476190476,-0.6377481392176932,
instruct_sft,asch_history_5,6,0.6075,0.6275,0.5525,0.019999999999999907,-0.05392857142857205,0.6348809523809528,-0.6,
instruct_sft,asch_zhu_unbiased_da,6,0.4025,0.35,0.355,-0.05250000000000005,-0.04928571428571451,0.4021428571428573,-0.7714285714285715,
instruct_sft,asch_zhu_unbiased_diverse_plain,6,0.175,0.16,0.16,-0.014999999999999986,-0.011428571428571522,0.1690476190476191,-0.550782483869826,
instruct_sft,asch_zhu_unbiased_qd,6,0.3075,0.3175,0.3675,0.010000000000000009,0.058928571428571254,0.2951190476190477,0.8857142857142858,
instruct_sft,asch_zhu_unbiased_unanimous_confident,6,0.7375,0.805,0.7775,0.0675,0.04714285714285666,0.7547619047619052,0.6,
instruct_sft,asch_zhu_unbiased_unanimous_neutral,6,0.7525,0.7425,0.62,-0.009999999999999898,-0.11750000000000047,0.7783333333333335,-0.898645105261295,
instruct_sft,asch_zhu_unbiased_unanimous_plain,6,0.5125,0.47,0.415,-0.04249999999999998,-0.08535714285714323,0.5205952380952382,-0.942857142857143,
instruct_sft,asch_zhu_unbiased_unanimous_uncertain,6,0.63,0.665,0.5575,0.03500000000000003,-0.0800000000000002,0.6675000000000001,-0.6,
instruct_sft,authoritative_bias,6,0.4325,0.55,0.5175,0.11750000000000005,0.116785714285714,0.4470238095238096,0.753702346348183,
instruct_sft,authority_zhu_unbiased_trust,6,0.3775,0.4275,0.4725,0.04999999999999999,0.09785714285714268,0.3810714285714287,0.9710083124552246,
instruct_sft,authority_zhu_unbiased_trust_da,6,0.4325,0.4325,0.435,0.0,0.002499999999999818,0.43333333333333346,0.49377071987869414,
instruct_sft,control,6,0.06,0.05,0.055,-0.009999999999999995,-0.005000000000000047,0.05583333333333335,-0.3825184261187248,
instruct_dpo,asch_history_5,6,0.185,0.16,0.1575,-0.024999999999999994,-0.013571428571428687,0.17511904761904767,-0.6571428571428573,
instruct_dpo,asch_zhu_unbiased_da,6,0.1675,0.1575,0.1625,-0.010000000000000009,-0.009642857142857196,0.16107142857142864,-0.23190841426097936,
instruct_dpo,asch_zhu_unbiased_diverse_plain,6,0.1225,0.1025,0.1175,-0.020000000000000004,0.0032142857142856665,0.09880952380952383,0.08571428571428573,
instruct_dpo,asch_zhu_unbiased_qd,6,0.1225,0.12,0.1225,-0.0025000000000000022,0.005357142857142824,0.11607142857142859,0.37032803990902063,
instruct_dpo,asch_zhu_unbiased_unanimous_confident,6,0.39,0.3575,0.3425,-0.03250000000000003,-0.052500000000000366,0.39333333333333353,-0.9856107606091624,
instruct_dpo,asch_zhu_unbiased_unanimous_neutral,6,0.4425,0.44,0.42,-0.0025000000000000022,-0.01857142857142902,0.44511904761904775,-0.7826908981308054,
instruct_dpo,asch_zhu_unbiased_unanimous_plain,6,0.175,0.1875,0.15,0.012500000000000011,-0.01964285714285718,0.1777380952380952,-0.6571428571428573,
instruct_dpo,asch_zhu_unbiased_unanimous_uncertain,6,0.265,0.28,0.2825,0.015000000000000013,0.018214285714285596,0.2646428571428571,0.8116794499134278,
instruct_dpo,authoritative_bias,6,0.3225,0.31,0.3325,-0.012500000000000011,-0.009642857142857371,0.3294047619047621,-0.17393131069573453,
instruct_dpo,authority_zhu_unbiased_trust,6,0.3,0.35,0.355,0.04999999999999999,0.05178571428571407,0.30702380952380964,0.942857142857143,
instruct_dpo,authority_zhu_unbiased_trust_da,6,0.3075,0.3,0.305,-0.007500000000000007,-0.009642857142857371,0.3102380952380953,-0.6377481392176932,
instruct_dpo,control,6,0.065,0.0525,0.0725,-0.012500000000000004,0.0017857142857142451,0.06035714285714288,0.05797710356524484,
instruct,asch_history_5,6,0.205,0.18,0.2025,-0.024999999999999994,-0.011428571428571536,0.19738095238095243,-0.3714285714285715,
instruct,asch_zhu_unbiased_da,6,0.2175,0.2025,0.185,-0.014999999999999986,-0.03928571428571442,0.2246428571428572,-0.942857142857143,
instruct,asch_zhu_unbiased_diverse_plain,6,0.115,0.13,0.1325,0.015,0.013214285714285685,0.11714285714285719,0.753702346348183,
instruct,asch_zhu_unbiased_qd,6,0.145,0.1425,0.17,-0.0025000000000000022,0.01392857142857134,0.14345238095238103,0.3714285714285715,
instruct,asch_zhu_unbiased_unanimous_confident,6,0.5075,0.485,0.475,-0.022499999999999964,-0.04928571428571454,0.5238095238095241,-0.8285714285714287,
instruct,asch_zhu_unbiased_unanimous_neutral,6,0.495,0.5,0.45,0.0050000000000000044,-0.0342857142857146,0.49880952380952404,-0.6377481392176932,
instruct,asch_zhu_unbiased_unanimous_plain,6,0.235,0.2,0.2275,-0.034999999999999976,-0.0196428571428573,0.2327380952380953,-0.753702346348183,
instruct,asch_zhu_unbiased_unanimous_uncertain,6,0.3375,0.35,0.34,0.012499999999999956,0.006071428571428286,0.33904761904761915,0.4058397249567139,
instruct,authoritative_bias,6,0.3175,0.2775,0.3,-0.03999999999999998,0.0028571428571427587,0.30107142857142866,0.14285714285714288,
instruct,authority_zhu_unbiased_trust,6,0.265,0.32,0.295,0.05499999999999999,0.04071428571428547,0.27047619047619076,0.7714285714285715,
instruct,authority_zhu_unbiased_trust_da,6,0.3125,0.3025,0.31,-0.010000000000000009,-0.008928571428571563,0.30821428571428583,-0.5296408977028497,
instruct,control,6,0.07,0.0675,0.0575,-0.0025000000000000022,-0.00964285714285717,0.07107142857142858,-0.5296408977028497,
think_sft,asch_zhu_unbiased_unanimous_confident,2,0.3225,0.3325,,0.010000000000000009,,,,only_2_temps
think_sft,authoritative_bias,2,0.265,0.265,,0.0,,,,only_2_temps
think_sft,authority_zhu_unbiased_trust,2,0.37,0.3325,,-0.03749999999999998,,,,only_2_temps
think_sft,control,2,0.085,0.1,,0.015,,,,only_2_temps
think_dpo,asch_zhu_unbiased_unanimous_confident,2,0.285,0.29,,0.0050000000000000044,,,,only_2_temps
think_dpo,authoritative_bias,2,0.2775,0.275,,-0.0025000000000000022,,,,only_2_temps
think_dpo,authority_zhu_unbiased_trust,2,0.275,0.275,,0.0,,,,only_2_temps
think_dpo,control,2,0.08,0.08,,0.0,,,,only_2_temps
think,asch_zhu_unbiased_unanimous_confident,2,0.2925,0.245,,-0.04749999999999999,,,,only_2_temps
think,authoritative_bias,2,0.21,0.2825,,0.07249999999999998,,,,only_2_temps
think,authority_zhu_unbiased_trust,2,0.265,0.3125,,0.04749999999999999,,,,only_2_temps
think,control,2,0.06,0.0825,,0.022500000000000006,,,,only_2_temps
