variant,temperature,condition_name,n_denominator,n_refusal,rr_p,rr_lo,rr_hi
base,1.0,asch_zhu_unbiased_da,400.0,24.0,0.06,0.0406476805246611,0.0877234432030579
base,1.0,asch_zhu_unbiased_diverse_plain,400.0,44.0,0.11,0.08296824650193971,0.14445161316581123
base,1.0,asch_zhu_unbiased_qd,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,asch_zhu_unbiased_unanimous_confident,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,asch_zhu_unbiased_unanimous_neutral,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,asch_zhu_unbiased_unanimous_plain,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
base,1.0,asch_zhu_unbiased_unanimous_uncertain,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
base,1.0,authoritative_bias,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
base,1.0,authority_zhu_unbiased_trust,400.0,5.0,0.0125,0.005350671853550634,0.02892415273113802
base,1.0,authority_zhu_unbiased_trust_da,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
base,1.0,control,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct,0.0,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct,0.0,asch_zhu_unbiased_da,400.0,42.0,0.105,0.07862330722943671,0.138891678844311
instruct,0.0,asch_zhu_unbiased_diverse_plain,400.0,62.0,0.155,0.12283205544731421,0.19373166656646548
instruct,0.0,asch_zhu_unbiased_qd,400.0,49.0,0.1225,0.09391269296642377,0.15826935068633516
instruct,0.0,asch_zhu_unbiased_unanimous_confident,400.0,27.0,0.0675,0.046801154899328234,0.09642727921939556
instruct,0.0,asch_zhu_unbiased_unanimous_neutral,400.0,9.0,0.0225,0.011881448169963291,0.04220312360273175
instruct,0.0,asch_zhu_unbiased_unanimous_plain,400.0,34.0,0.085,0.061462653163424086,0.11643283853431088
instruct,0.0,asch_zhu_unbiased_unanimous_uncertain,400.0,13.0,0.0325,0.019089659086961887,0.054804659873739545
instruct,0.0,authoritative_bias,400.0,2.0,0.005,0.0013722242215711469,0.018045289972112716
instruct,0.0,authority_zhu_unbiased_trust,400.0,11.0,0.0275,0.015423476078524151,0.04856596928817408
instruct,0.0,authority_zhu_unbiased_trust_da,400.0,10.0,0.025,0.013634943739762435,0.045402064829934204
instruct,0.0,control,400.0,22.0,0.055,0.036598221864059276,0.08186802826965653
instruct,0.2,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct,0.2,asch_zhu_unbiased_da,400.0,38.0,0.095,0.0699962171700798,0.12770902171566156
instruct,0.2,asch_zhu_unbiased_diverse_plain,400.0,56.0,0.14,0.10940912065943276,0.17743998057233734
instruct,0.2,asch_zhu_unbiased_qd,400.0,42.0,0.105,0.07862330722943671,0.138891678844311
instruct,0.2,asch_zhu_unbiased_unanimous_confident,400.0,31.0,0.0775,0.05513258958646752,0.10790559172026265
instruct,0.2,asch_zhu_unbiased_unanimous_neutral,400.0,10.0,0.025,0.013634943739762435,0.045402064829934204
instruct,0.2,asch_zhu_unbiased_unanimous_plain,400.0,27.0,0.0675,0.046801154899328234,0.09642727921939556
instruct,0.2,asch_zhu_unbiased_unanimous_uncertain,400.0,7.0,0.0175,0.008502182660789141,0.03567751551790271
instruct,0.2,authoritative_bias,400.0,3.0,0.0075,0.0025538429629852373,0.02181610802770022
instruct,0.2,authority_zhu_unbiased_trust,400.0,9.0,0.0225,0.011881448169963291,0.04220312360273175
instruct,0.2,authority_zhu_unbiased_trust_da,400.0,9.0,0.0225,0.011881448169963291,0.04220312360273175
instruct,0.2,control,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
instruct,0.4,asch_history_5,400.0,0.0,0.0,0.0,0.009512640599680667
instruct,0.4,asch_zhu_unbiased_da,400.0,38.0,0.095,0.0699962171700798,0.12770902171566156
instruct,0.4,asch_zhu_unbiased_diverse_plain,400.0,56.0,0.14,0.10940912065943276,0.17743998057233734
instruct,0.4,asch_zhu_unbiased_qd,400.0,40.0,0.1,0.07429885168964503,0.13331126079009953
instruct,0.4,asch_zhu_unbiased_unanimous_confident,400.0,27.0,0.0675,0.046801154899328234,0.09642727921939556
instruct,0.4,asch_zhu_unbiased_unanimous_neutral,400.0,18.0,0.045,0.028651223384090457,0.07000527956161895
instruct,0.4,asch_zhu_unbiased_unanimous_plain,400.0,33.0,0.0825,0.059345516507342,0.11359753839339136
instruct,0.4,asch_zhu_unbiased_unanimous_uncertain,400.0,15.0,0.0375,0.022854824841380277,0.06094436771332434
instruct,0.4,authoritative_bias,400.0,7.0,0.0175,0.008502182660789141,0.03567751551790271
instruct,0.4,authority_zhu_unbiased_trust,400.0,8.0,0.02,0.010168264597915496,0.038963870377777945
instruct,0.4,authority_zhu_unbiased_trust_da,400.0,7.0,0.0175,0.008502182660789141,0.03567751551790271
instruct,0.4,control,400.0,19.0,0.0475,0.030616832107668652,0.07299210763504237
